ORF	H2O2 10m 	H2O2 20m 	H2O2 30m 	H2O2 40m	H2O2 50m 	H2O2 60m 	H2O2 80m 	H2O2 100m 	H2O2 120m 	H2O2 160m 
YBR007C	-	-0.03	0.15	0.14	-0.12	-0.06	-	2	1.58	0.81
YBR008C	3.76	4.78	2.21	1.28	0.66	0.71	0.46	-0.18	0.32	0.54
YBR009C	-0.97	-1.09	-1.32	-1.32	-0.06	-0.06	-0.09	-0.64	0.04	0.5
YBR010W	-1.36	-1.4	-1.29	-1.32	-0.47	-0.23	-0.07	-0.89	-	0.23
YBR011C	0.29	0.43	0.06	0.39	0.57	-0.01	0.14	-0.18	-0.04	0.18
YBR012C	0.33	0.53	0.41	0.26	0.16	0.18	0.58	-0.14	0.53	0.49
YBR012W-A	0.29	0.58	0.44	0.74	0.54	0.51	0.68	0.33	0.44	0.76
YBR012W-B	0.16	0.33	0.15	-0.07	0.16	0.29	0.68	0.23	0.54	0.64
YBR013C	0.36	0.59	0.51	-	0.74	0.48	0.58	0.12	0.4	0.59
YBR014C	0.49	1.3	1.32	-0.18	0.5	0.44	0.6	-0.23	0.49	0.59
YBR015C	0.07	-0.29	-0.42	-1.25	0.01	-0.07	-0.03	-0.34	-0.14	0.08
YBR016W	0.23	0.93	0.79	0.49	-0.38	-0.58	0.28	-0.45	-0.01	0.1
YBR017C	-0.1	-0.29	-0.17	-0.18	0.3	-0.12	-	-0.43	-0.23	-0.04
YBR018C	-0.22	1.1	0.72	0.99	1.2	0.62	0.7	0.45	0.55	0.25
YBR019C	1.69	-	0.41	0.19	-0.6	0.01	-	0.31	-0.07	0.03
YBR020W	-	-	-	-0.6	-	-	-	-0.58	-	-
YBR021W	1.18	-0.49	-1.84	-	-0.03	0.21	0.58	0.45	-0.04	0.06
YBR022W	-0.38	0.32	0.34	-	0.68	0.34	0.39	0.54	0.48	0.42
YBR023C	-0.49	-0.81	-0.71	-	-0.07	-0.03	-0.03	0.38	-0.07	0.15
YBR024W	-0.49	0.03	0.07	-	0.62	0.28	0.33	0.3	0.43	0.41
YBR025C	-0.86	-1	-1	-	-1.03	-0.81	-0.4	-0.18	-0.43	-0.06
YBR026C	0.11	1.09	1.4	-	0.96	0.59	0.45	0.52	0.33	0.45
YBR027C	-0.45	-	-0.81	-	-	-0.18	-0.23	0.21	-0.2	0.11
YBR028C	-0.34	-0.43	-1.03	-	-0.47	-0.51	-0.25	0.31	-0.15	-0.01
YBR029C	-0.43	-0.92	-0.3	-	-0.29	-0.04	-0.12	0.25	-0.22	0.03
YBR030W	-0.54	-1.06	-0.94	-0.42	-0.27	-0.54	-0.47	0.25	-0.45	-0.04
YBR031W	-0.69	-0.92	-1.12	-0.97	-0.86	-0.76	-0.62	-0.04	-	-0.1
YBR032W	-0.79	-0.58	-0.38	-0.84	-0.32	-0.15	-0.2	0.55	0.32	0.36
YBR033W	-0.06	-0.04	-0.09	-0.6	0.2	0.22	-0.11	0.16	-2.91	-0.16
YBR034C	-2.12	-	-1.94	-	-0.58	-0.25	-0.09	0.19	-	-0.04
YBR035C	0.3	0.56	0.85	4.58	0.68	0.75	0.15	0.24	1.22	0.15
YBR036C	-0.06	-4.64	-	-	0.06	-0.14	0.15	0.42	0.03	0.2
YBR037C	-0.25	0.26	0.21	2.23	0.08	-0.27	-0.14	0.3	-	0.18
YBR038W	-0.13	-0.76	-0.49	-0.07	0.12	-0.45	-0.1	0.5	-0.2	-0.02
YBR039W	-0.92	-0.32	0.08	1.66	0.55	0.19	0.19	0.31	2.32	0.25
YBR040W	-0.34	-	-0.92	-0.97	-1.06	-0.06	-0.09	0.59	-0.22	-0.36
YBR041W	-	-0.86	0.04	1.42	0.62	0.21	-	-	-	-
YBR042C	-0.18	-0.29	-0.18	-	-0.58	-0.12	-0.06	0.21	0.07	0.11
YBR043C	0.14	-0.09	0.75	0.15	0.29	-0.09	-0.1	-0.09	-0.47	-0.23
YBR044C	-0.22	0.56	-0.22	0.11	-0.22	-0.2	-0.04	0.21	0.01	0.32
YBR045C	-0.27	2.15	0.33	-	0.57	0.53	-	0.16	-0.1	-0.17
YBR046C	1.38	2.1	1.95	1.35	0.95	0.49	0.12	0.06	-0.18	0.07
YBR047W	3.02	3.49	2.9	-	1.33	0.87	0.1	-0.14	0.24	0.12
YBR048W	-0.49	-1.07	-1.14	-0.79	-0.83	-0.69	-0.56	-0.23	-0.25	-0.35
YBR049C	-0.49	-0.97	-0.67	-	-0.47	-0.49	-0.43	-0.4	-0.58	-0.29
YBR050C	-0.42	1.33	-	-	-	0.34	0.28	0.18	0.03	0.08
