ORF	H2O2 10m 	H2O2 20m 	H2O2 30m 	H2O2 40m	H2O2 50m 	H2O2 60m 	H2O2 80m 	H2O2 100m 	H2O2 120m 	H2O2 160m 
YBR051W	-0.34	-3.32	-0.06	-	-0.03	0.23	-0.2	-0.18	-0.25	0.19
YBR052C	0.92	1.94	2.08	-	0.79	0.57	0.18	-	0.36	0.45
YBR053C	0.32	1.18	2.33	0.56	1.33	0.99	0.34	0.06	0.28	0.52
YBR054W	-0.22	0.63	0.73	0.66	-	0.66	0.72	0.82	1.06	1.36
YBR055C	-0.42	-0.38	-0.09	0.28	0.01	-0.45	-0.29	0.11	-0.42	-0.18
YBR056W	0.87	1.35	2.14	1.68	1.24	1.24	0.79	0.38	0.53	0.65
YBR057C	-0.58	-0.58	-0.56	-0.58	-0.3	-0.89	-0.62	-0.36	-0.67	-0.43
YBR058C	-0.06	-0.15	-0.36	0.24	-0.09	0.03	-0.12	0.03	-0.37	-0.39
YBR059C	-0.07	-0.76	-0.4	0.63	-0.15	-0.15	-0.12	0.14	-0.49	-0.25
YBR060C	-0.76	-0.81	-0.54	-0.56	-0.71	-0.43	-0.56	-0.4	-0.56	-0.49
YBR061C	-1.22	-1.03	-1.4	-	-0.49	-0.43	-0.29	-0.18	-0.54	-0.4
YBR062C	0.33	1.01	1.51	-	1.01	0.6	0.14	-0.14	0.03	0.24
YBR063C	-0.2	-0.58	-0.01	-	0.14	-0.3	-0.04	0.18	-0.36	-0.14
YBR064W	-	-0.69	-	0.31	-0.23	-0.07	-0.01	-0.12	-0.38	0.1
YBR065C	-	-0.62	-0.29	0.26	0.23	-0.27	-	-	-	-
YBR066C	0.28	0.56	0.85	0.86	0.6	0.43	0.08	-0.17	-0.34	-0.58
YBR067C	-0.3	-1.47	-1.06	-0.64	-	-0.03	-1.09	-0.18	-0.86	-0.54
YBR068C	0.2	0.77	1.37	0.5	0.99	0.53	-0.1	0.04	-0.04	-0.25
YBR069C	-0.43	-1.18	-0.58	-0.22	-0.43	-0.03	-0.42	-0.15	-0.09	-0.47
YBR070C	0.28	1.49	1.27	1.3	0.79	0.82	0.11	0.28	0.51	-0.06
YBR071W	-1.46	-0.3	-0.24	-0.09	-0.15	-0.09	-0.47	-0.15	0.8	-0.56
YBR072W	0.43	1.24	2.07	2.38	-	-	1.1	1.24	0.54	0.23
YBR073W	-	0.3	0.19	0.01	0.54	0.4	-	-	-	-
YBR074W	0.3	-0.29	-0.45	-0.69	-0.07	-0.09	-0.25	-0.32	-0.09	-0.38
YBR075W	-	-0.36	-0.32	-0.25	0.11	-0.04	-	-	-0.84	-
YBR076W	0.66	0.19	0.26	1.1	-0.01	0.03	-0.07	-0.17	0.04	-0.29
YBR077C	1	4	-1.6	0.38	-	-	-	-	-	-
YBR078W	-0.3	-0.86	-0.45	-0.51	-	0.03	-0.29	-0.03	-0.15	-0.25
YBR079C	-	-1	-0.54	-1	-0.07	-0.43	-0.43	-0.07	-0.43	-0.62
YBR080C	0.34	0.36	0.98	0.2	0.55	0.26	-0.2	-	-0.32	-0.38
YBR081C	0.26	0.33	0.48	0.12	0.21	-0.72	-0.35	-0.03	-0.19	-0.49
YBR082C	0.66	0.08	0.58	0.1	0.45	0.2	-0.32	-0.2	-0.17	-0.15
YBR083W	4.25	-0.69	-0.3	-0.49	-0.17	-0.76	-	-	-0.18	-
YBR084C-A	-0.01	-1.18	-0.81	-0.56	-0.4	-0.12	-0.51	-0.29	-0.2	-0.45
YBR084W	-0.3	-1.09	-1.12	-1.03	-0.27	-0.27	-0.6	-0.34	-0.47	-0.51
YBR085W	-0.38	-0.79	-0.43	1.6	0.07	0.25	-0.51	-0.4	-0.25	-0.45
YBR086C	-0.36	0.2	0.32	-0.17	0.09	-0.12	-0.47	0.33	-0.07	-0.54
YBR087W	-	0.25	0.32	0.89	0.11	0.15	-	-0.18	-	-
YBR088C	-	-	-	0.51	-	-0.42	-	-	-	-0.29
YBR089W	-0.38	-0.27	-0.49	0.64	-0.27	-0.03	-0.17	-0.64	0.26	0.01
YBR090C	0.07	-0.25	-0.07	-	-0.17	0.15	0.19	-0.22	0.2	0.36
YBR091C	-	-0.36	-0.07	-	-0.6	0.06	-	-1.94	-	-
YBR092C	0.03	-1.84	-1.51	-1.18	-1.4	-0.89	-	-	-	-
YBR093C	-	-2.94	-1.89	1.17	-1.43	-0.89	-	-	-	-
YBR094W	-0.22	0.11	0.07	-	-0.22	0.06	0.26	-0.27	0.18	0.18
YBR095C	-	-0.76	-0.6	-0.45	-0.23	-0.32	-	-	-	-
YBR096W	0.84	0.93	0.75	2.19	0.14	0.23	0.38	-0.38	0.4	0.39
YBR097W	0.61	0.51	0.2	-0.32	-0.49	0.05	0.34	0.84	-0.4	-0.62
YBR098W	0.03	-	0.08	-0.03	0.1	0.09	0.52	0.31	1	0.25
YBR099C	-	0.77	-	0.11	0.41	-	-	-	-1	-
YBR100W	0.31	0.43	0.28	0.19	-0.09	-0.23	0.28	-0.14	0.25	0.58
YBR101C	0.49	0.66	0.59	6	0.25	-0.32	-0.34	-0.86	-0.36	0.12
YBR102C	0.33	0.83	0.38	-	0.18	-0.14	0.04	-0.32	-0.06	0.24
YBR103W	-0.17	-0.01	-	-0.74	0.26	0.01	0.16	-0.64	-0.18	0.23
YBR104W	0.38	0.37	-0.74	-0.56	-0.4	-0.18	-0.25	-0.56	-0.1	-0.01
YBR105C	0.03	-0.84	0.34	0.39	0.98	0.9	0.66	0.01	0.12	0.7
YBR106W	-0.49	-0.49	-0.29	-0.4	-0.1	-	0.06	-0.76	0.12	0.3
YBR107C	-	-0.51	-0.07	-	0.37	0.12	0.04	-0.4	-0.06	0.25
YBR108W	0.07	0.58	1.77	-0.64	0.43	0.36	0.42	0.03	0.33	0.67
YBR109C	0.68	0.83	1.01	1.84	0.86	0.51	0.32	-0.3	0.23	0.21
YBR110W	-	-2.47	-	-0.25	-	-	-	-	-	-
YBR111C	-	-	-	0.37	-	-	-	-	-	-
YBR112C	-0.43	-0.17	-0.32	-0.4	-0.36	-0.32	-0.09	0.36	-0.04	0.16
YBR113W	-0.07	-0.64	-0.22	0.58	-0.17	-0.12	-0.23	0.26	-0.2	0.06
YBR114W	-0.07	0.52	0.88	-	1.1	0.48	0.44	0.79	0.49	0.65
YBR115C	0.46	-0.25	0.18	1.81	0.49	0.69	0.4	1.04	0.3	0.32
YBR116C	-0.62	-1.69	-0.32	0.1	-0.18	-0.36	0.14	0.33	0.11	0.16
YBR117C	-	-0.25	0.2	-0.2	-0.3	0.03	1.32	-	-	1.32
YBR118W	-0.29	-0.58	-0.92	-0.56	-1.12	-0.86	-0.25	0.08	-0.12	-0.04
YBR119W	0.21	0.7	0.39	1.08	-0.17	-0.07	0.07	0.21	-0.04	0.19
YBR120C	0.51	0.68	0.96	-	0.41	0.1	0.24	0.28	0.31	0.45
YBR121C	-0.84	-0.49	-0.79	-	-0.51	-0.45	-	-	-1.4	-
YBR122C	-	-	-	0.99	-	-	1	-	-	-
YBR123C	0.03	0.39	0.03	0.49	-1.27	-0.66	0.03	-0.27	-0.09	0.03
YBR124W	-	-0.58	0.7	-0.89	-0.3	-0.38	-0.32	-	-	-
YBR125C	-0.1	-0.43	-0.17	-0.34	0.15	-0.04	0.07	0.34	-	-0.03
YBR126C	-	1.09	2.04	-	0.86	0.43	-	-	-	-
YBR127C	-	-0.38	-0.1	-0.47	-0.01	0.01	-	-	-0.69	-
YBR128C	1.04	0.23	1.6	-	-0.01	0.39	0.44	0.36	0.39	-
YBR129C	-1.4	-	-	0.11	-	-	-	-	-	-
YBR130C	0.32	0.62	0.13	-0.38	-0.42	0.14	-0.01	0.23	-0.17	0.21
YBR131W	-	0.04	-	-	1.74	-	-	-	-	-
YBR132C	-	1.9	-0.71	-0.22	-0.94	-	-	-	-	-
YBR133C	-	-	-	-0.69	-	-	-	-	-	-
YBR134W	-	-	-	-0.92	-	-	-	-1.18	-	-
YBR135W	-0.22	-	-	-0.29	-	-	-	-	-	-
YBR136W	-	0.05	-0.11	-0.62	-0.27	-0.11	-0.36	0.07	-	-0.16
YBR137W	0.7	0.04	0.77	-	0.49	0.28	-0.04	-0.23	0.04	0.04
YBR138C	-	-	-0.23	-0.04	-0.58	-0.4	-	-	-	-
YBR139W	-	0.1	-	-	0.08	-1.74	-	-	-	-
YBR140C	0.72	0.5	0.3	0.14	-	0.23	-0.27	0.4	-0.38	-0.49
YBR141C	-	-	-	-	-	-	-	-	-	-
YBR142W	-	-	-0.09	-1	-	-	-	-	-	-
YBR143C	-	-	-	-	-	-	-	-	-	-
YBR144C	2.7	-	0.58	-0.38	-	-	-	-	-	-
YBR145W	-	0.9	-	3.81	-	-	-	-	-	-
YBR146W	-	-	-0.89	0.45	-	-	-	-	-	-
YBR147W	-	-	1.94	1.78	-	-	-	-	-	-
YBR148W	-0.1	-0.4	0.46	-0.42	0.15	0.2	-0.09	-0.01	-0.1	0.06
YBR149W	0.2	0.53	1.23	0.96	1.55	1.1	0.77	0.86	0.29	0.33
YBR150C	-0.07	0.95	1.14	-0.07	0.06	0.49	-0.17	-0.04	-0.14	0.07
YBR151W	-	-	-	0.72	-	-	-	-	-	-
YBR152W	-	-	-	0.82	-	-	-0.58	-	-	-
YBR153W	-	-	-	-	-	-	-	-	-	-
YBR154C	-	-	-1.22	-0.6	-1.25	-	-0.06	-	-	-
YBR155W	-	-	-	-0.89	-	-	-	-	-	-
YBR156C	-0.45	-0.76	-0.56	-1.03	-0.06	-0.29	0.11	0.48	0.21	-0.19
YBR157C	-	-	-	-0.69	-	-	-	-	-	-
YBR158W	1.08	2.09	-	-0.97	-	-	-	-	-	-
YBR159W	-	-	-	-	-	-	-	-	-	-
YBR160W	0.75	-	0.49	-0.45	-1.06	-	-0.03	-0.32	0.32	-0.34
YBR161W	-0.04	-0.4	0.07	0.04	-0.07	0.03	-0.42	-0.1	-0.18	-0.36
YBR162C	0.81	-0.81	-0.76	-0.51	-0.76	-0.34	-0.36	-0.71	0.06	-0.54
YBR162W-A	0.42	-0.36	-0.03	0.38	0.1	0.29	-0.09	0.06	0.11	-0.25
YBR163W	0.77	0.16	0.26	-0.12	-0.18	0.03	-0.25	-0.29	0.06	-0.58
YBR164C	0.2	0.32	0.45	0.59	0.15	0.21	-0.23	-0.15	-0.17	-0.45
YBR165W	0.82	0.59	0.58	1.45	0.11	0.19	-0.25	-0.34	0.04	-0.51
YBR166C	0.9	0.53	0.49	0.53	0.28	0.29	1.15	-0.12	-0.23	-0.34
YBR167C	0.75	0.45	0.67	1.12	0.12	0.2	-0.27	-0.38	0.12	-0.3
YBR168W	-	1.05	1.08	0.53	-	-	-	3.17	-	-
YBR169C	0.67	-	-	1.91	-	-	-	-	-	-
YBR170C	-	-	-	0.18	0.31	-	-	-	1.81	-
YBR171W	0.84	0.45	0.67	1.11	0.19	0.07	-0.29	-0.4	-0.2	-0.51
YBR172C	-0.71	-1.4	-0.27	-0.42	-0.17	-0.34	-0.79	-0.58	-0.58	-0.62
YBR173C	-0.01	0.03	0.72	-0.49	0.2	0.71	-0.1	-0.4	-0.14	-0.49
YBR174C	0.43	0.34	-	-0.15	0.19	0.11	-0.56	-0.64	-0.2	-0.69
YBR175W	-0.07	-0.09	0.3	-0.47	0.06	-0.06	-0.45	-0.45	-0.29	-0.6
YBR176W	0.56	-0.34	0.4	-0.38	0.43	0.23	-	-0.22	0.32	0.07
YBR177C	0.48	0.27	0.65	-0.1	0.49	-0.07	-0.26	0.14	-0.15	-0.1
YBR178W	-	1.1	0.99	1.24	0.41	0.16	-	-	-	-3.18
YBR179C	0.64	0.03	0.75	-0.92	0.58	0.3	-0.09	0.01	-	-0.2
YBR180W	-	3	-	-1.32	-1	-	-1	-	-	2
YBR181C	-	-1.43	-	-0.86	-0.3	-	-	-	-	-
YBR182C	-	-2.56	-1.79	-0.42	-	1.58	-	-	-	-
YBR183W	0.24	0.71	0.91	0.28	1.01	0.92	0.96	-0.09	1.29	1.06
YBR184W	-0.64	-0.2	-0.97	0.01	-0.74	-0.34	-	-0.49	-0.06	0.61
YBR185C	0.19	0.46	0.9	0.82	0.54	0.39	0.72	-0.3	0.98	0.77
YBR186W	-1.06	-1.64	-1.64	-0.25	-0.84	-0.38	-0.1	-0.56	0.03	0.31
YBR187W	0.04	-1.09	-1.25	-0.86	-0.64	-0.51	-0.03	-0.94	0.21	-0.07
YBR188C	-0.4	-0.2	0.03	-	-0.09	-0.18	-	-0.42	-0.04	0.1
YBR189W	-0.03	-1.43	-1.25	-0.89	-0.84	-0.69	-0.17	-0.81	0.29	0.07
YBR190W	-0.04	-0.25	0.64	-0.56	-0.58	-0.32	-0.17	-0.58	0.12	0.26
YBR191W	-0.18	-1.6	-1.25	-0.6	-0.89	-0.58	-0.1	-0.76	0.36	0.14
YBR192W	-	0.5	0.36	0.41	0.18	0.16	-	-	-	-
YBR193C	-	0.3	0.26	-	0.3	-	-	-	-	-
YBR194W	-	-	-	0.56	-	-	-	-	-	-
YBR195C	-0.29	-0.67	-0.4	-0.42	0.15	-0.06	0.07	-0.45	0.08	0.16
YBR196C	-0.14	-0.32	-0.32	0.2	-0.03	0.19	0.15	-0.2	-0.01	-0.01
YBR197C	-0.25	-0.07	-0.3	-0.62	-0.03	0.12	0.01	-0.36	0.01	0.12
YBR198C	-0.18	-0.38	-0.01	-0.56	-0.23	-0.06	-0.2	-0.32	-0.23	-0.12
YBR199W	0.11	0.38	0.44	0.28	0.29	0.33	0.3	-0.11	0.4	0.19
YBR200W	0.01	-0.01	0.37	0.84	0.03	-	0.04	-0.18	-0.12	-0.23
YBR201W	0.15	1.19	0.31	-0.22	0.04	0.12	0.15	-0.4	0.24	0.42
YBR202W	-0.32	-0.3	-0.45	-1.03	-0.32	-0.47	-0.15	0.01	0.12	0.03
YBR203W	0.12	1.64	0.68	-0.34	0.55	0.77	0.73	0.37	0.77	0.23
YBR204C	0.29	0.85	0.89	0.89	0.88	0.5	0.43	0.11	0.28	0.26
YBR205W	-	0.37	-0.92	-0.42	0.03	-0.01	-	-	-	-
YBR206W	-	-1	-	-0.43	-	-	-	-	-	-
YBR207W	0.25	0.12	-0.03	0.15	0.14	-0.14	0.24	0.37	0.25	0.03
YBR208C	0.03	4.34	0.46	0.39	-1.55	-1.1	0.01	-0.01	-0.13	-0.16
YBR209W	-	-0.3	-0.14	1.26	-0.23	-0.4	-0.17	0.43	0.19	0.2
YBR210W	0.15	-	0.31	1.32	0.07	0.04	-	0.43	0.03	0.14
YBR211C	0.24	-0.15	-0.12	0.16	-0.32	-0.36	-0.09	0.1	0.03	0.07
YBR212W	0.24	0.7	0.7	-	0.3	0.3	0.15	0.48	0.04	0.21
YBR213W	-0.25	-0.81	-0.89	-	-0.54	-0.81	-0.22	0.18	0.37	0.36
YBR214W	0.5	-0.43	1.01	-	0.59	0.5	0.84	0.75	0.27	0.74
YBR215W	-0.22	-0.6	-0.06	1.13	-0.23	-0.47	-0.01	0.21	-0.2	0.08
YBR216C	0.44	0.29	0.58	-	0.2	0.06	-0.04	0.34	-0.25	0.07
YBR217W	-0.25	0.45	0.12	1.25	-0.23	-0.27	0.07	0.04	0.16	0.03
YBR218C	0.01	-0.1	-0.14	0.23	-0.2	-0.21	0.22	0.23	0.12	0.07
YBR219C	-0.54	-2.4	-0.34	-0.49	-0.6	-0.54	0.01	0.12	0.04	0.08
YBR220C	-0.81	-0.07	-0.84	0.33	-0.56	-0.54	-0.07	0.16	-0.14	0.07
YBR221C	0.06	-	0.21	0.55	0.29	0.16	0.2	0.26	0.08	-0.01
YBR222C	-0.04	-0.47	0.76	0.4	0.18	0.08	-0.01	0.16	-0.01	-0.22
YBR223C	0.71	-1.56	0.43	-0.6	1.13	-0.22	-0.09	0.33	-	0.08
YBR224W	0.04	-0.25	0.11	1.44	-0.11	0.31	-0.05	0.26	0.01	0.09
YBR225W	0.71	-1.03	-0.15	-0.64	0.49	-0.06	0.03	0.36	-	0.03
YBR226C	-0.08	0.34	0.78	0.18	0.07	0.38	-0.19	0.53	-0.03	0.19
YBR227C	0.15	-0.45	0.08	-0.84	-0.15	-0.11	0.06	0.21	-	0.04
YBR228W	-0.51	-0.22	-0.01	-0.54	-0.14	0.08	-0.12	0.21	-0.14	0.07
YBR229C	0.16	-0.15	0.34	-0.71	0.12	-0.03	0.16	0.34	0.12	0.16
YBR230C	-	1.34	2.21	0.86	1.52	0.86	-	-	-	-
YBR231C	0.12	-0.27	-0.34	0.63	-0.3	-0.64	-0.42	0.04	-0.18	-0.23
YBR232C	-0.01	-0.6	0.36	0.14	0.07	0.18	-0.25	-0.06	-0.43	-0.12
YBR233W	-0.04	-0.29	-0.3	0.39	-0.1	-0.38	-0.22	0.29	-0.12	-0.12
YBR234C	-0.32	-0.62	0.04	0.16	0.03	-0.04	-0.14	-0.25	-0.32	-0.15
YBR235W	-0.15	-0.34	-0.32	-	-0.54	-0.54	-0.17	0.39	-0.06	-0.1
YBR236C	-0.36	-0.71	-0.04	0.36	-0.22	-0.29	0.04	-0.4	-0.45	-0.1
YBR237W	-0.04	-0.34	-0.4	0.4	-0.43	-0.64	-0.3	0.21	-0.38	-0.27
YBR238C	-3.47	-3.06	-1.32	-0.62	-0.97	-0.56	-0.54	-0.79	-0.81	-0.32
YBR239C	-0.09	-0.67	-0.92	0.33	-0.62	-0.74	-0.15	0.44	-0.12	-0.12
YBR240C	0.25	-1.12	0.15	0.36	-0.03	-0.42	0.11	0.43	0.63	0.04
YBR241C	-0.51	0.28	0.64	0.11	-0.29	-0.36	0.51	0.64	0.1	0.42
YBR242W	-0.62	-1.15	-1.15	-0.25	-0.56	-0.38	-0.1	-0.34	-0.12	-0.14
YBR243C	0.45	0.15	-0.1	0.28	-0.2	-0.01	-0.09	-0.04	0.14	0.24
YBR244W	3.61	3.3	3.7	4.31	2.22	2.22	2.03	1.9	2.09	2.5
YBR245C	0.62	0.27	0.2	-0.01	-0.03	-0.18	0.09	0.15	0.03	0.08
YBR246W	-0.62	-0.49	-0.27	-0.38	-0.42	-0.6	-0.42	-0.43	-0.51	-0.38
YBR247C	-2	-4.32	-2.74	-1.43	-1	-0.79	-0.38	-0.29	-0.34	-0.38
YBR248C	0.26	-0.79	-0.49	-0.42	-0.09	-0.3	-0.3	-0.47	-0.58	-0.34
YBR249C	0.03	-0.32	-0.34	-0.6	-0.34	-0.15	-0.07	-0.22	0.04	-0.09
YBR250W	0.21	-0.64	-0.07	0.78	0.12	-0.27	0.28	-0.23	-0.01	0.1
YBR251W	-0.49	-0.45	0.58	0.4	-0.45	0.29	0.07	-0.09	0.18	0.1
YBR252W	-1.09	-0.86	-0.62	-1.25	-0.67	-0.3	-0.18	-0.64	-0.22	-0.25
YBR253W	-0.2	-0.38	-0.34	-	-0.23	-0.23	-0.25	-0.51	-0.1	-0.09
YBR254C	-	-	1.75	-0.1	-	-	-	-	-	-
YBR255W	1.72	0.74	0.51	0.32	0.38	0.29	-0.2	-0.27	-0.06	-0.38
YBR256C	1.91	1.5	1.71	1.2	1.35	1.1	0.07	0.19	0.15	-0.18
YBR257W	2.6	-0.12	0.18	0.63	-0.01	0.07	-0.06	-0.38	0.07	-0.49
YBR258C	-0.03	-0.38	0.4	0.32	0.11	0.12	-0.38	-0.32	-0.14	-0.56
YBR259W	1.25	0.41	0.32	0.42	0.21	0.16	-0.14	-0.25	-0.14	-0.62
YBR260C	0.38	-0.29	0.7	0.14	0.53	0.28	-0.45	-0.18	-0.43	-0.62
YBR261C	0.36	-0.23	0.06	-1.03	-0.25	-0.3	-0.3	-0.4	-0.25	-0.81
YBR262C	0.24	-0.62	0.92	0.25	0.1	-0.07	-0.43	-0.03	-0.12	-0.51
YBR263W	0.33	-0.22	-0.01	-0.23	-0.17	-	-0.17	-0.15	-0.07	-0.81
YBR264C	-0.43	-1.12	-0.64	-1.56	-0.6	-0.42	-0.79	-0.62	-0.6	-0.89
YBR265W	0.65	-1.12	-0.09	-0.97	-0.49	-0.2	-0.79	-0.79	-0.6	-0.97
YBR266C	-0.38	-2.94	-1.43	-	-0.43	-0.6	1.66	-1.6	-0.74	-
YBR267W	-1.56	-1.15	-1.06	-0.69	-0.74	-0.71	-0.25	-0.49	-0.42	-0.64
YBR268W	0.03	-0.25	0.26	-0.32	-0.04	0.25	-0.36	-0.17	0.08	-0.09
YBR269C	0.52	0.56	1.28	-	0.63	0.67	0.41	0.45	0.23	-0.06
YBR270C	0.32	0.2	-0.17	0.1	0.21	0.38	-0.27	-0.29	-0.23	-0.32
YBR271W	-0.47	-0.94	-0.97	-	-0.25	-0.34	-0.49	-0.43	-0.38	-0.79
YBR272C	0.4	0.62	0.98	-	0.44	0.39	-0.54	-0.43	-0.51	-0.47
YBR273C	0.4	0.21	0.56	-	0.14	0.21	-0.15	-0.23	-0.32	-0.56
YBR274W	0.16	0.15	0.59	-	0.11	0.12	-0.49	-0.32	-0.43	-0.49
YBR275C	0.48	-0.23	-0.29	0.07	-0.09	0.13	-0.4	-0.41	-0.41	-0.73
YBR276C	0.34	-0.09	0.26	-3.32	0.43	0.26	-0.45	-0.22	-0.25	-0.56
YBR277C	0.26	-0.47	0.16	-	0.3	0.39	-0.18	-0.3	0.07	-0.2
YBR278W	-	1.81	-	-	-0.76	-	-	-	-	2.32
YBR279W	0.01	-0.36	-0.51	0.45	-0.25	-0.34	0.06	-0.74	-0.03	0.08
YBR280C	0.89	-0.15	2.4	-	0.34	0.16	0.48	0.28	0.29	0.48
YBR281C	-0.36	-0.76	0.25	-0.17	-0.07	-0.03	0.14	-0.3	0.14	0.1
YBR282W	-0.01	0.11	0.4	-0.51	0.54	0.42	0.4	-0.3	0.5	0.61
YBR283C	-0.06	-0.18	-0.1	-0.34	-0.4	-0.2	-0.03	-0.62	0.2	0.18
YBR284W	-0.18	1.43	0.56	0.43	1.05	0.72	0.58	-0.07	0.72	0.46
YBR285W	0.06	0.36	0.82	1.44	0.46	0.29	0.6	-0.4	0.54	0.44
YBR286W	-0.21	-	0.17	0.46	0.51	0.38	0.19	-0.3	-0.06	0.09
YBR287W	0.39	0.36	0.46	0.29	0.07	0.06	0.24	-0.43	0.34	0.34
YBR288C	-	0.21	0.24	0.51	-0.2	-0.2	-0.01	-0.62	0.03	0.12
YBR289W	-0.16	-0.17	-0.14	-0.92	-0.11	0.05	-0.02	0.07	0.02	0.06
YBR290W	-	0.34	0.53	0.46	0.14	0.2	-	-	-	-
YBR291C	-0.49	-0.51	0.51	-	0.93	1.14	1.11	0.41	0.93	0.83
YBR292C	0.01	0.41	0.15	-	0.29	0.07	0.19	-0.27	0.07	0.3
YBR293W	0.67	0.52	0.39	-	0.26	0.2	0.38	-0.32	0.08	0.19
YBR294W	-0.14	1.46	0.58	-0.86	0.3	0.06	0.21	0.06	0.18	0.39
YBR295W	0.06	0.79	-0.92	0.16	0.01	0.4	0.39	-0.36	0.04	0.24
YBR296C	-1.47	-1.29	-1.6	-1.06	-0.79	-0.58	-0.94	-1.36	-1	-1.6
YBR297W	-0.17	1.28	0.71	-0.12	0.26	0.43	0.52	0.11	0.65	0.53
YBR298C	1.34	1.29	0.75	-0.49	0.33	0.2	0.29	-0.07	0.24	0.42
YBR299W	-0.16	0.18	-0.12	0.32	0.12	0.17	0.45	0.36	0.53	0.45
YBR300C	-	0.44	0.3	0.19	-	0.42	0.16	-0.01	-	0.43
YBR301W	0.15	0.58	0.21	-0.32	0.11	0.39	0.58	-0.17	0.31	0.43
YBR302C	0.14	0.99	0.91	1.09	0.42	0.43	0.31	-0.04	0.41	0.58
YCL001W	-	0.61	-0.38	0.97	-0.21	-0.39	-0.19	0.46	0.17	0.31
YCL002C	0.03	-0.56	-0.42	0.08	-0.4	-0.18	-0.09	0.24	-0.1	-0.1
YCL004W	-0.18	-0.06	0.33	-	-0.18	-0.22	-0.04	0.23	-0.07	0.11
YCL005W	-0.42	-0.92	-0.51	-0.25	-0.23	-0.23	-0.14	0.37	0.2	0.12
YCL006C	-0.32	-0.81	-0.12	-0.29	-0.74	-0.56	-0.38	0.08	-0.25	0.01
YCL007C	-0.18	-1.12	-0.36	-0.51	-0.38	-0.32	-0.06	0.2	0.16	0.07
YCL008C	-0.86	-0.89	-	-	0.21	-0.74	-0.32	0.68	-	0.16
YCL009C	0.45	0.34	0.18	-0.1	-0.23	-0.45	0.37	0.45	0.32	0.03
YCL010C	-2.18	-0.4	-0.54	-	-0.54	-0.76	-0.34	0.5	-0.32	0.18
YCL011C	-0.42	-0.25	-0.54	-0.23	-0.2	-0.42	-0.23	0.25	0.01	0.04
YCL012W	-3.32	-0.92	-0.94	-0.76	-0.27	-0.27	0.29	0.7	0.18	0.37
YCL014W	-1.51	-0.36	-1.15	-0.76	-0.56	-0.17	0.14	0.28	-0.56	0.14
YCL016C	-	-	1	-0.14	-	1.22	-	-	-	-
YCL017C	0.21	0.15	0.37	-0.1	-	0.11	0.04	0.21	-0.22	-0.03
YCL018W	1.44	-0.01	1.23	0.24	0.44	0.37	0.24	0.31	0.03	-0.04
YCL019W	-0.23	-0.12	0.1	0.38	0.25	0.33	0.43	0.64	-0.32	0.39
YCL020W	0.12	-0.38	0.04	-	0.03	0.18	0.7	0.72	0.32	0.43
YCL022C	-0.06	-1.06	-0.23	-	-0.47	-0.04	0.01	0.46	0.12	0.18
YCL023C	-2.12	-1.43	0.19	-0.58	-0.23	-0.36	-0.15	0.1	-0.12	0.06
YCL024W	-0.62	-0.97	-0.58	-	-0.54	-0.47	-0.2	0.52	0.1	0.18
YCL025C	0.19	-0.54	0.14	-0.6	0.41	0.2	0.28	0.32	-0.32	-0.04
YCL027W	-0.03	-0.3	0.05	0.36	-0.34	-0.48	0.05	-0.54	-0.32	-0.3
YCL028W	-0.14	-0.45	-0.3	-0.3	-0.64	-0.47	-0.06	0.31	-0.22	-0.03
YCL029C	-0.55	-0.73	-0.88	-0.49	-0.79	-0.19	-0.2	-0.28	-0.38	-0.06
YCL030C	1.21	-0.17	-0.47	-0.12	-0.15	-0.17	-0.03	0.63	0.03	0.4
YCL031C	-0.89	-0.99	-0.97	-0.31	-0.61	-0.42	-0.2	-0.69	-0.08	-0.11
YCL032W	0.24	0.19	-0.64	-0.4	-0.14	-0.15	0.1	0.3	-0.17	0.06
YCL033C	-0.09	-1.03	0.48	-0.25	-0.27	0.26	0.19	-0.23	0.14	0.14
YCL034W	-0.17	-0.07	0.23	0.3	-0.62	-0.15	-0.01	0.37	-0.27	-0.03
YCL035C	-0.12	0.15	1.15	1.47	1.27	1.02	0.44	0.06	0.31	0.39
YCL036W	-0.58	-0.81	-0.54	-0.45	-0.3	0.11	-0.18	0.3	-0.01	-0.12
YCL037C	-1.25	-2.94	-1.74	-1.56	-0.86	-0.34	0.33	0.04	0.14	0.2
YCL038C	0.29	0.12	0.71	0.37	0.58	0.72	0.52	0.28	0.41	0.56
YCL039W	-0.05	-0.8	-0.12	-0.17	0.13	-0.12	-0.17	0.25	-0.2	0.16
YCL040W	1.18	1.74	2.57	-0.74	1.01	0.96	1.45	1.29	1.55	1.66
YCL041C	0.23	-0.49	0.39	1.05	0.4	-0.03	-0.12	-0.42	-0.47	-0.18
YCL042W	1.04	1.54	1.67	0.78	0.82	1.38	0.97	1.16	1	1.31
YCL043C	-0.36	-0.54	0.32	0.32	-0.01	0.01	-0.06	-0.3	-0.43	-0.12
YCL044C	0.01	1.3	-	-0.25	-0.01	0.59	-0.03	-0.4	-0.22	-0.38
YCL045C	-0.25	-0.02	-0.09	0.41	-0.12	-0.27	-0.13	-0.37	-0.28	-0.1
YCL046W	-0.12	0.18	-0.76	2.05	-0.51	-0.23	-0.15	-0.45	-0.29	-0.17
YCL047C	-0.17	-0.64	-0.12	-0.69	0.4	-0.06	-0.12	-0.38	-0.36	-0.18
