ORF	diamide 5m	diamide 10m	diamide 20m	diamide 30m	diamide 40m	diamide 50m	diamide 60m	diamide 90m
YHR183W	1.5	1.23	1.48	1.11	1.04	0.8	1.31	1.96
YHR184W	-0.04	-0.47	-0.32	-0.01	-1.06	-0.58	-0.14	-0.58
YHR185C	-0.18	-0.69	-0.47	-0.32	-0.64	-0.49	-0.54	-
YHR186C	-0.03	-0.29	-0.45	-0.17	-0.04	-0.3	-0.03	0.16
YHR187W	-0.29	-0.43	-0.69	-0.56	-0.04	-0.07	0.15	-
YHR188C	0.24	0.04	-0.03	0.25	0.1	0.12	0.29	0.12
YHR189W	0.31	-0.07	0.18	0.74	0.34	0.08	0.48	-0.03
YHR190W	0.49	0.58	0.6	0.56	0.48	0.3	0.8	0.14
YHR191C	0.36	0.69	0.38	0.39	0.38	0.29	0.39	0.12
YHR192W	0.26	0.4	0.15	-0.01	-0.3	0.03	0.08	0.06
YHR193C	0.49	0.62	0.15	-0.38	-0.54	-0.42	-0.22	-0.4
YHR194W	0.37	0.48	0.43	0.64	-0.03	0.12	0.14	-0.03
YHR195W	0.39	0.96	0.95	0.86	0.6	0.31	0.2	-0.29
YHR196W	-1.09	-1.6	-2.12	-2.12	-1.47	-1.18	-0.94	-0.69
YHR197W	-1.06	-2.18	-2.56	-2.25	-1.79	-1.36	-0.94	-0.56
YHR198C	0.11	0.66	0.82	0.88	0.2	0.32	0.12	0.04
YHR199C	0.96	1.57	1.42	1.29	1.32	1.01	0.96	0.63
YHR200W	0.55	1.09	-	1.11	1.2	1.1	0.99	0.51
YHR201C	-0.18	0.21	0.07	0.03	0.29	0.24	0.24	0.12
YHR202W	0.07	0.28	-	0.49	-	0.01	-0.18	0.03
YHR203C	0.45	0.33	-0.62	-1.32	-1.22	-1.03	-0.6	-0.4
YHR204W	-0.15	-0.69	-1.15	-0.94	-0.71	-0.6	-0.71	-0.34
YHR205W	-0.22	-0.84	-0.84	-0.76	-0.25	-0.45	-0.49	-0.3
YHR206W	-0.4	-0.92	-0.97	-0.92	-0.62	-0.64	0.1	-0.27
YHR207C	-0.3	-0.49	-0.69	-0.67	-0.62	-0.4	-0.32	0.06
YHR208W	0.19	-0.38	-0.92	-1.03	-0.4	-0.34	0.1	0.21
YHR209W	0.07	0.83	1.43	1.95	2.06	1.73	2	0.96
YHR210C	0.31	0.43	0.28	0.19	-0.3	-0.89	-0.22	0.03
YHR211W	-0.25	-0.42	-0.38	-0.17	-0.06	-0.14	-0.14	0.03
YHR212C	-0.1	-0.1	-	0.1	-0.27	-0.14	-0.2	-0.14
YHR213W	-0.36	-0.51	-0.47	-0.32	-0.09	-0.23	-0.4	0.12
YHR214C-B	-0.15	-0.22	-0.14	-0.14	0.4	0.31	0.65	0.88
YHR214W	0.06	-0.4	-0.27	-0.14	0.15	0.12	0.1	0.42
YHR214W-A	0.2	0.11	0.19	0.16	0.25	-	0.31	0.41
YHR215W	-0.23	-1	-2.18	-2.32	-1.74	-1.12	-1	-1.64
YHR216W	0.08	-0.43	-1.25	-1.6	-1.18	-0.81	-0.15	-0.22
YHR217C	-0.18	-0.22	-0.36	-0.15	-0.25	-0.47	-0.45	-0.3
YHR218W	-0.14	-0.25	-0.2	-0.23	-0.14	-0.3	-0.56	-0.32
YHR219W	-0.27	-0.1	-0.15	0.04	-0.06	-0.07	-0.47	-0.22
YIL001W	0.1	0.11	0.2	0.14	0.26	0.32	0.36	0.56
YIL002C	-0.29	-0.32	-0.15	-0.29	-0.07	-0.18	-0.42	-0.42
YIL003W	0.06	-0.1	-0.23	-0.18	-0.12	-0.12	0.19	0.21
YIL004C	0.12	0.39	0.14	0.07	0.21	0.03	-0.22	-0.17
YIL005W	0.1	0.12	0.2	-0.14	0.25	-0.01	-0.36	-0.03
YIL006W	0.1	0.32	0.31	0.53	0.48	0.07	0.04	-0.27
YIL007C	0.21	0.62	0.14	0.26	0.45	0.29	0.08	0.16
YIL008W	0.06	-	-0.67	-0.97	-0.79	-0.47	-0.1	-0.1
YIL009C-A	0.2	0.5	0.21	0.39	0.55	0.36	0.32	0.77
YIL009W	-0.3	-1.36	-1.6	-1.22	-0.69	-0.81	-0.89	-0.56
YIL010W	0.21	0.66	0.66	0.68	0.77	0.9	0.73	0.56
YIL011W	0.28	-0.34	-0.86	-1.06	-1.22	-1.4	-1.4	-1.12
YIL012W	-0.47	-0.89	-0.56	-0.51	-0.62	-0.79	-0.62	-0.94
YIL013C	0.1	-0.34	0.12	-0.17	-0.06	-0.37	-0.69	-0.67
YIL014W	-0.27	-0.36	-0.34	-0.15	0.07	0.01	0.03	0.18
YIL015C-A	-	-	-	-	-	-	-	-
YIL015W	-0.15	-0.34	-0.27	-0.07	0.21	0.15	-0.1	-0.22
YIL016W	-	0.1	-0.47	-0.74	-0.74	-0.4	-0.3	-0.2
YIL018W	0.21	0.3	-0.49	-1.15	-1.18	-0.94	-0.6	-0.4
YIL019W	-1.03	-2.25	-2.84	-2.32	-2.56	-1.74	-1.12	-0.43
YIL020C	-0.09	-0.27	-0.71	-0.74	-0.76	-0.69	-0.64	-0.34
YIL021W	-0.04	0.1	0.18	-0.07	0.08	-0.07	-0.07	0.01
YIL022W	0.11	0.58	0.79	0.77	0.82	0.56	0.41	0.06
YIL023C	0.28	0.24	0.42	0.52	0.81	0.5	0.6	0.49
YIL024C	0.03	0.18	0.43	0.11	0.2	0.23	0.16	-0.29
YIL025C	-0.04	-0.22	-0.04	0.06	0.03	-0.25	-0.23	-0.18
YIL026C	-0.27	-0.27	-0.34	-0.29	-0.18	0.04	-0.36	-0.01
YIL027C	0.38	0.31	0.11	-0.14	0.03	0.01	0.12	0.11
YIL028W	-0.03	0.04	0.15	0.19	-	0.14	0.25	-0.42
YIL029C	0.11	0.16	0.34	0.06	0.29	0.19	0.29	-0.07
YIL030C	-0.36	-0.64	-0.29	-0.03	0.06	0.15	0.24	0.03
YIL031W	-0.15	-0.22	-0.09	-0.23	-0.09	-0.38	-0.34	-0.06
YIL032C	-0.07	-0.23	-0.2	-0.01	-0.12	-0.23	-0.43	-0.29
YIL033C	0.56	1	1.41	1.28	1.28	0.85	0.87	0.28
YIL034C	0.38	0.8	1.01	0.96	0.82	0.79	0.59	0.15
YIL035C	-0.03	0.18	0.23	-0.06	0.06	-0.2	-0.2	-0.1
YIL036W	0.38	0.61	0.93	0.77	0.86	0.46	0.53	0.08
YIL037C	0.11	0.2	0.15	0.25	0.26	0.25	0.58	0.3
YIL038C	-0.58	-0.76	-0.81	-0.86	-0.43	-0.62	-0.84	-0.34
YIL039W	0.06	0.04	-0.12	-0.23	-0.07	-0.09	0.23	0.12
YIL040W	0.08	0.1	-0.29	-0.29	-0.06	0.26	0.53	0.1
YIL041W	-	-	0.58	-	0.53	0.51	0.79	-
YIL042C	0.28	0.19	0.26	0.42	0.51	0.18	0.54	0.39
YIL043C	0.37	0.18	-0.07	-0.2	-0.17	-0.04	0.23	0.24
YIL044C	0.03	0.11	-0.01	-0.07	0.08	0.08	0.16	0.18
YIL045W	0.59	0.12	0.55	0.31	-0.2	0.16	0.31	0.32
YIL046W	-0.1	-0.2	-0.15	0.36	0.11	0.19	0.26	-0.03
YIL047C	-0.4	-1.43	-1.6	-1.25	-0.92	-0.58	-0.01	-0.18
YIL048W	-0.15	-0.12	0.08	0.3	0.55	0.18	0.1	0.16
YIL049W	0.14	0.11	0.11	0.24	0.04	0.11	0.14	-0.17
YIL050W	0.36	0.55	0.71	0.72	0.9	0.44	0.59	0.18
YIL051C	0.72	0.82	0.85	0.84	0.61	0.53	0.43	-0.14
YIL052C	0.49	0.48	-0.32	-1	-1.09	-0.74	-0.6	-0.49
YIL053W	0.1	-0.51	-1.25	-0.71	-0.04	0.07	1.29	0.24
YIL054W	-0.54	-0.29	-0.47	-0.25	-0.43	-0.42	-0.42	-
YIL055C	0.14	0.02	-0.06	0.88	0.35	0.05	0.48	0.04
YIL056W	1.21	0.72	0.12	-0.3	-0.45	-0.81	-0.56	-0.2
YIL057C	-0.06	-0.36	0.07	0.18	-0.54	-0.54	-0.27	-0.58
YIL058W	-0.38	-0.12	-0.49	-0.27	-	-0.22	-0.14	-0.15
YIL059C	-0.15	-0.15	-0.2	-	0.01	-0.18	0.25	-0.23
YIL060W	-0.29	-	-0.15	-0.15	0.59	0.48	0.71	1.01
YIL061C	-0.12	-0.29	-0.12	0.08	-0.23	0.08	0.43	0.08
YIL062C	0.48	1.13	1.24	1.03	0.91	0.71	0.56	0.08
YIL063C	-0.38	-0.14	-0.04	-0.23	-0.06	-0.18	-0.49	0.01
YIL064W	-0.25	-0.6	-1.6	-1.56	-1.36	-0.94	-0.51	-0.22
YIL065C	0.28	0.82	1.17	1.54	1.58	0.62	0.29	0.15
YIL066C	-	-	-	-	-	-	-	-
YIL067C	-	-	-	-	-	-	-	-
YIL068C	-	-0.15	-0.01	-0.06	0.01	-0.25	-0.43	-0.07
YIL069C	-	-	-	-	-	-	-	-
YIL070C	-	-	-	-	-	-	-	-
YIL071C	0.01	0.19	0.36	0.2	0.41	0.21	0.07	0.15
YIL072W	-	-	-	-	-	-	-	-
YIL073C	-0.41	-0.17	-0.45	-0.18	-0.29	-0.38	-0.38	-0.07
YIL074C	0.44	0.66	0.74	0.56	0.9	0.83	0.95	0.4
YIL075C	-0.1	-	-	-	-	-	-	-
YIL076W	-	-	-	-	-	-	-	-
YIL077C	0.69	0.95	1.41	1.08	0.7	0.43	0.88	0.25
YIL078W	0.12	-0.3	-0.69	-1.09	-0.97	-0.92	-0.36	-0.12
YIL079C	-0.74	-1.22	-1.47	-0.97	-0.92	-0.69	-0.58	-0.32
YIL080W	-0.14	-0.22	-0.04	-0.17	0.28	0.12	0.16	0.39
YIL082W	0.01	0.15	-0.1	0.38	0.28	0.11	0.26	0.28
YIL082W-A	-0.03	-0.27	0.08	0.01	0.2	0.16	0.34	0.62
YIL083C	-0.15	-0.42	-0.74	-0.69	-0.22	-0.06	0.5	0.29
YIL084C	-0.03	-0.06	-0.06	-0.04	-0.15	-0.17	-0.15	-0.1
YIL085C	-0.17	-0.29	-0.64	-0.84	-0.74	-0.67	-0.42	-0.27
YIL086C	0.02	0.05	-0.02	-0.14	-0.28	-0.45	-0.42	-0.46
YIL087C	0.46	1.02	1.46	1.69	1.49	1.02	0.95	0.08
YIL088C	0.16	0.3	0.58	0.75	0.9	0.66	0.6	0.21
YIL089W	-0.22	-0.32	0.01	0.14	0.25	0.04	0.08	-0.22
YIL090W	-	-	-	-0.92	-	-	-	-
YIL091C	-1.03	-0.79	-1.24	-2.12	-1.2	-0.92	-0.75	-0.54
YIL092W	-0.4	-0.69	-0.76	-0.89	-0.74	-0.58	-0.71	-0.17
YIL093C	-0.22	-0.31	-0.2	-0.4	-0.51	-0.83	-0.46	-1.79
YIL094C	0.28	0.06	-0.4	-0.81	-0.56	-0.36	-0.34	0.14
YIL095W	-0.17	-0.15	-0.18	-0.32	-0.19	-0.3	-0.36	-0.21
YIL096C	-0.69	-1.56	-1.89	-1.89	-1.64	-0.97	-0.54	-0.03
YIL097W	-	0.77	0.96	0.91	0.58	0.23	0.12	0.19
YIL098C	0.36	1.06	1.27	1.29	1.05	0.62	0.19	-0.06
YIL099W	-	1.21	1.42	1.88	1.48	1.36	0.9	0.23
YIL100W	0.5	0.2	0.12	0.07	0.08	-0.34	-	-0.36
YIL101C	-	2.06	2.9	2.59	2.91	2.53	1.26	1.84
YIL102C	-0.17	0.33	0.03	0.16	-0.25	-0.42	-0.86	-
YIL103W	-0.38	-0.67	-1.4	-1.12	-0.79	-0.45	-0.1	0.1
YIL104C	-0.43	-0.84	-0.89	-0.62	-0.64	-0.45	-0.49	-0.15
YIL105C	-0.21	-0.13	0.12	-0.07	0.05	-0.12	-0.19	0.01
YIL106W	0.19	0.14	0.07	0.1	0.18	-0.25	-0.07	0.18
YIL107C	0.29	1.02	1.47	1.51	1.58	0.95	0.31	0.68
YIL108W	0.67	0.36	0.43	0.55	0.94	0.86	1.25	0.79
YIL109C	-0.14	-0.69	-0.36	0.19	-	0.26	0.56	0.42
YIL110W	-0.15	-0.58	-0.92	-0.89	-0.64	-0.62	-0.23	-0.12
YIL111W	0.61	1.66	1.48	1.99	1.91	1.9	1.49	0.7
YIL112W	-0.43	-0.22	-0.04	0.06	0.24	-0.3	-0.4	0.01
YIL113W	0.51	1.59	1.08	1.34	1.43	0.63	0.08	-0.14
YIL114C	0.24	0.18	0.14	0.03	0.23	0.04	0.42	-0.15
YIL115C	-0.44	-0.51	-0.69	-0.64	-0.39	-0.66	-0.62	-0.49
YIL116W	0.1	0.15	-0.1	-0.22	0.19	0.06	0.23	0.28
YIL117C	0.36	0.81	1.19	1.95	2.37	2.26	2.69	1.73
YIL118W	0.2	0.26	0.24	0.18	0.51	0.41	0.65	0.39
YIL119C	0.07	-0.15	-0.12	-0.18	0.15	-0.45	-1.03	-0.04
YIL120W	0.01	-0.01	0.21	0.41	0.73	0.55	0.7	0.53
YIL121W	0.24	0.52	0.84	0.88	0.73	0.21	0.06	-0.2
YIL122W	-0.01	-0.09	0.16	0.21	0.1	-0.43	0.07	-0.29
YIL123W	-	-0.42	-0.6	-0.15	0.12	0.29	0.49	0.64
YIL124W	0.77	1.35	1.85	1.75	1.91	1.46	1.03	0.62
YIL125W	0.18	0.62	0.18	0.57	0.59	0.01	-0.06	0.08
YIL126W	0.14	-0.04	0.07	-0.47	-0.12	-0.19	-0.54	-0.49
YIL127C	-0.84	-1.56	-2.18	-2.06	-1.4	-0.79	-0.38	-0.14
YIL128W	-0.34	-0.64	-0.42	-0.45	-0.23	-0.56	-0.43	-0.15
YIL129C	-0.01	-0.18	-0.64	-0.39	-0.57	-0.56	-0.52	-0.11
YIL130W	-0.45	-0.86	-0.71	-0.49	-0.34	-0.32	-0.29	-0.01
YIL131C	-0.04	-0.29	-0.6	-0.86	-0.67	-	-0.86	0.11
YIL132C	0.16	-0.17	-0.25	-0.07	-0.32	-0.25	-0.29	-0.14
YIL133C	0.28	0.07	-0.84	-1.36	-1.15	-0.67	-0.47	-0.43
YIL134W	-0.01	0.3	0.23	0.24	0.23	0.18	0.24	-
YIL135C	0.44	0.52	0.67	0.58	0.89	0.82	0.59	0.3
YIL136W	0.86	2.5	3.67	3.41	3.41	2.82	2.01	1.28
YIL137C	0.1	-0.3	-0.04	-0.27	0.11	0.06	-0.03	-
YIL138C	0.03	0.21	0.26	0.03	0.03	0.14	-0.01	0.3
YIL139C	-0.14	0.07	-0.04	-	0.23	0.28	0.12	0.2
YIL140W	-0.07	-0.42	-0.22	-	0.43	0.59	0.55	0.6
YIL141W	-0.47	-0.92	-0.49	-0.09	-0.06	0.15	-0.22	0.12
YIL142W	0.28	0.49	0.6	0.61	0.64	0.69	1	0.49
YIL143C	-0.03	-0.07	0.3	0.21	0.46	0.26	0.32	0.25
YIL144W	-0.51	-0.45	-0.18	-0.34	-0.32	-0.49	-0.71	-0.09
YIL145C	-0.17	-0.27	-0.54	-0.47	-0.15	-0.12	0.15	0.07
YIL146C	-0.2	-0.4	-0.2	0.01	-0.12	-0.18	0.31	0.19
YIL147C	-0.81	-0.94	-1	-1.06	-0.6	-0.54	-0.71	-0.07
YIL148W	0.49	0.53	-0.07	-0.54	-0.69	-0.67	-0.32	-0.36
YIL149C	-1.22	-0.71	-0.56	-1.18	-0.86	-1.06	-1.12	-
YIL150C	-0.64	-0.69	-0.69	-0.4	-0.58	-0.56	-0.25	-0.29
YIL151C	-0.31	-0.28	-0.31	-0.11	-0.41	-0.46	-0.42	-0.4
YIL152W	0.23	0.34	0.58	0.26	0.3	0.15	0.66	0.2
YIL153W	0.32	0.25	0.26	0.34	0.72	0.53	0.58	0.25
YIL154C	0.39	0.24	0.39	0.13	0.05	-0.14	0.41	0.36
YIL155C	0.61	0.78	0.97	1.18	1.24	0.34	0.38	0.35
YIL156W	0.11	0.48	0.46	0.48	0.69	0.31	0.39	0.57
YIL157C	0.18	0.67	0.84	0.87	0.93	0.58	0.45	0.01
YIL158W	-0.04	0.16	-0.17	-0.09	-0.07	-0.2	-0.54	-0.25
YIL159W	-0.6	-0.94	-0.49	-0.86	-0.67	-0.42	-0.67	-0.29
YIL160C	-0.22	-0.32	1	1.38	1.54	1.43	0.6	-0.15
YIL161W	-0.45	-0.62	-0.3	-0.06	0.42	0.24	-0.07	-0.34
YIL162W	0.4	0.72	0.58	0.16	-0.25	-0.2	-0.22	-0.06
YIL163C	-0.2	-0.27	-0.45	-0.27	-0.32	-0.47	-0.49	-0.43
YIL164C	-	0.28	0.36	0.37	-0.18	-0.04	0.2	-0.01
YIL165C	-0.03	0.39	0.08	-	0.03	-	0.25	-0.25
YIL166C	-0.18	-	0.1	0.38	-0.29	0.07	0.26	0.3
YIL167W	0.93	1.32	0.78	0.86	1.23	1.23	0.7	0.6
YIL168W	0.55	0.93	0.63	0.83	-	0.58	0.41	0.18
YIL169C	-0.07	-	-	-	0.28	0.2	-	-
YIL170W	0.57	0.66	0.81	1.04	0.52	0.7	1.08	-
YIL171W	0.3	0.58	0.52	0.75	0.75	0.63	0.44	0.11
YIL172C	0.72	0.85	0.76	0.53	0.07	-0.1	0.1	-0.15
YIL173W	-0.4	-0.37	-0.47	-0.33	-0.32	-0.76	-0.58	-0.53
YIL174W	0.08	0.03	0.04	-0.06	-0.25	-0.3	0.3	0.15
YIL175W	-0.12	-0.1	-0.34	-0.62	-0.06	-0.04	0.56	0.12
YIL176C	0.12	0.21	0.01	0.1	0.32	0.32	0.58	0.73
YIL177C	-	-0.25	-0.25	-0.18	-0.2	-0.23	-	-0.36
YIR001C	-0.01	0.15	-0.01	-0.32	-0.27	-0.23	-0.23	-0.03
YIR002C	-0.49	-0.49	-0.34	-0.45	0.03	-0.14	-0.09	0.2
YIR003W	0.07	0.2	0.61	0.69	0.6	0.31	-0.15	0.07
YIR004W	-0.51	-0.38	-0.32	-0.45	-0.12	-0.12	-0.38	-0.23
YIR005W	0.1	0.01	0.06	0.07	-0.27	0.06	-0.17	-0.17
YIR006C	0.05	-0.34	-0.18	-0.18	-0.17	-0.31	-0.34	-0.19
YIR007W	0.33	0.08	0.6	0.86	0.88	0.58	0.4	0.52
YIR008C	0.18	0.25	0.25	0.14	0.41	0.15	0.03	0.18
YIR009W	-0.07	0.37	0.28	0.4	0.25	0.26	0.1	-
YIR010W	-0.34	-0.29	-0.07	-0.14	-0.25	-0.43	-0.67	0.1
YIR011C	-0.06	0.18	0.14	0.42	0.25	0.23	0.45	0.25
YIR012W	-0.34	-0.84	-1.29	-0.89	-0.69	-0.51	0.23	0.11
YIR013C	0.16	0.04	-0.14	-0.03	-0.64	-0.54	-0.62	-0.38
YIR014W	0.39	0.8	0.51	0.83	0.86	0.01	-0.32	-0.03
YIR015W	0.01	-0.15	0.06	0.08	0.16	-	0.18	0.01
YIR016W	0.81	1.83	1.94	1.93	1.56	0.83	0.48	0.43
YIR017C	1.16	2.16	1.77	1.79	1.34	0.86	0.42	0.32
YIR018W	0.56	0.82	0.63	0.64	0.72	0.49	0.15	0.14
YIR019C	-0.26	0.02	0.12	-0.25	-0.5	-0.5	-0.68	-0.49
YIR020C	0.03	0.01	-0.06	-0.06	-0.3	-0.15	-0.6	-0.67
YIR021W	-0.03	0.1	-	0.16	0.15	-0.1	-0.2	-0.38
YIR022W	0.15	0.21	0.01	0.16	0.4	0.49	0.53	0.29
YIR023W	-0.2	-0.36	-0.4	-0.34	-0.09	-0.27	-0.4	0.04
YIR024C	-0.15	0.57	0.64	0.67	0.67	0.56	0.45	0.29
YIR025W	-0.22	0.08	0.18	0.1	0.12	0.11	0.06	0.03
YIR026C	-0.47	-1.18	-2.12	-2.18	-1.69	-1.18	-0.43	-0.27
YIR027C	0.01	0.2	0.15	0.77	0.92	0.8	0.86	0.49
YIR028W	-0.25	-0.18	-0.23	0.3	0.33	0.24	0.3	0.24
YIR029W	0.03	0.1	-0.03	0.32	-0.06	-0.04	0.19	-0.17
YIR030C	-0.15	0.19	-0.22	-	0.08	0.33	0.28	0.19
YIR031C	-	0.31	0.2	0.32	0.45	0.33	0.38	0.69
YIR032C	-0.2	0.33	0.21	0.76	0.72	0.5	0.62	0.32
YIR033W	-	-0.45	-0.62	-0.69	-0.42	-0.56	-0.34	0.26
YIR034C	0.07	0.18	0.34	0.34	0.45	0.4	0.3	-0.06
YIR035C	0.46	-0.04	-0.45	-0.6	-0.51	-0.27	0.84	0.25
YIR036C	0.36	0.96	1.45	1.67	1.78	1.63	1.48	0.57
YIR037W	0.64	1.17	1.79	1.88	2.37	2.1	1.92	0.92
YIR038C	0.32	1.2	1.97	2.56	3.06	2.96	2.64	1.21
YIR039C	0.57	0.82	1.88	1.7	2.1	1.39	1.15	0.53
YIR040C	-0.04	-0.01	-0.07	-0.12	0.1	0.08	0.36	0.1
YIR041W	0.21	0.18	0.33	0.16	0.44	0.16	0.45	0.39
YIR042C	-0.12	0.01	-0.03	-0.1	-0.22	-0.09	0.2	-0.03
YIR043C	0.21	0.63	0.76	0.53	0.6	0.43	0.6	0.29
YIR044C	-0.03	0.38	0.4	0.44	0.34	0.3	0.44	0.12
YJL001W	0.6	1.18	1.53	1.32	1.52	1.34	1.59	0.83
YJL002C	0.07	0.1	0.1	0.16	0.31	0.36	0.34	0.14
YJL003W	0.28	0.74	0.81	0.53	0.75	0.64	0.2	0.15
YJL004C	-0.07	0.03	-0.07	-0.09	0.06	0.1	0.04	0.08
YJL005W	0.12	0.33	0.43	0.4	0.32	0.1	-0.26	-0.05
YJL006C	-0.17	-0.3	-0.4	-0.49	-0.2	-0.1	0.15	0.16
YJL007C	-0.07	0.12	-	0.1	-0.38	-0.23	-0.04	-0.4
YJL008C	-0.06	0.16	0.38	0.29	0.49	0.49	0.67	0.25
YJL009W	0.14	0.6	0.71	0.34	0.57	0.58	0.76	0.23
YJL010C	-0.6	-1.37	-1.79	-1.42	-1.32	-1	-0.71	-0.41
YJL011C	-0.09	-0.31	-0.61	-0.56	-0.64	-0.31	-0.21	-0.19
YJL012C	-	-4.06	-1.79	-	-	-0.69	-	-0.27
YJL013C	-	0.25	0.38	0.31	0.03	-0.03	0.07	0.15
YJL014W	0.18	0.24	0.2	0.23	0.34	0.2	0.48	0.18
YJL015C	0.14	0.48	0.94	1.06	0.53	0.18	0.58	-0.07
YJL016W	-	0.53	0.55	0.74	0.78	0.24	-	-
YJL017W	0.04	0.19	0.73	0.9	0.52	-0.69	0.58	0.04
YJL018W	-	-0.67	-0.67	-0.94	-0.58	-0.54	-0.6	-0.2
YJL019W	-0.17	-0.29	-0.36	-0.51	-0.4	-0.51	-0.58	-0.2
YJL020C	-	0.67	0.89	1.2	1.35	0.69	0.38	0.33
YJL021C	0.4	0.82	1.32	1.51	1.19	0.84	0.64	0.52
YJL022W	-0.45	-0.22	-0.01	0.19	0.12	0.04	-	-0.18
YJL023C	0.1	0.34	0.28	0.3	0.01	0.23	0.3	0.11
YJL024C	-0.04	0.15	0.12	0.23	0.32	0.16	0.42	0.14
YJL025W	-0.42	-0.81	-0.94	-0.67	-0.67	-0.62	-0.58	-0.15
YJL026W	0.15	0.34	0.04	0.04	0.24	0.32	0.68	0.59
YJL027C	0.12	0.11	-0.09	-	-0.3	-0.34	-	-0.65
YJL028W	-0.56	-0.36	-0.23	-0.12	-0.47	-0.4	-0.25	-
YJL029C	0.06	0.01	0.01	-0.07	0.03	-0.3	-0.29	-0.04
YJL030W	-0.12	-0.04	0.02	-0.01	0.15	-0.04	-0.16	-0.6
YJL031C	0.19	1.04	1.29	1.11	0.99	1.13	1.1	0.68
YJL032W	0.07	0.73	1.02	0.9	1.05	1.04	0.92	0.57
YJL033W	-1.09	-1.84	-2	-1.06	-1.69	-1.43	-0.79	-0.49
YJL034W	0.71	1.27	1.66	1.57	1.91	1.97	2.6	2.41
YJL035C	-	0.12	-0.17	-	0.12	0.52	0.88	0.56
YJL036W	0.15	0.55	0.92	0.79	0.64	0.5	0.63	0.46
YJL037W	-0.17	-0.2	-0.07	0.26	-0.38	0.15	0.44	0.06
YJL038C	-0.27	-0.09	-0.32	0.04	0.07	0.38	0.33	0.1
YJL039C	-0.16	-0.2	-0.06	-0.19	-0.41	-0.35	-0.32	-0.46
YJL041W	-0.38	-0.25	-0.58	-0.49	-0.18	-0.36	-0.1	-0.07
YJL042W	0.39	0.36	0.64	0.68	0.57	0.45	0.24	0.24
YJL043W	-0.36	0.24	-0.22	-0.14	-0.45	-0.32	-0.49	-0.36
YJL044C	-0.03	-0.04	-0.07	0.01	0.04	-0.09	-0.1	-0.12
YJL045W	0.08	0.7	0.93	1.63	2.11	1.48	1.49	-0.04
YJL046W	0.07	0.66	0.9	0.93	0.46	0.51	0.34	-
YJL047C	-0.23	-0.38	-0.23	-0.34	-0.2	-0.36	-0.34	-0.3
YJL048C	0.87	1.43	1.74	1.88	1.5	1.49	2.16	1.38
YJL049W	-0.37	-0.01	0.04	0.07	0.05	-0.09	-0.33	-0.1
YJL050W	-0.56	-1.44	-1.54	-1.74	-1.5	-1.24	-0.76	-0.46
YJL051W	-0.22	-0.45	-0.15	-	-0.3	-0.67	-1.4	-0.54
YJL052W	0.64	0.75	0.9	1.26	1.07	1.2	1.41	0.41
YJL053W	0.41	0.58	0.64	0.42	0.62	0.46	0.52	0.34
YJL054W	0.04	0.8	0.17	0.24	0.06	0.32	0.26	0.03
YJL055W	0.4	0.92	1.06	0.75	0.86	0.68	0.57	0.31
YJL056C	-0.34	-1.32	-0.49	-0.6	-0.14	-0.34	0.24	-
YJL057C	0.63	1.45	1.45	1.76	1.63	1.36	0.89	0.75
YJL058C	-0.15	-0.23	-0.25	-0.06	-0.2	-0.2	-0.09	0.1
YJL059W	0.16	0.29	0.15	0.24	0.16	0.21	-0.14	0.08
YJL060W	0.46	1.02	1.13	1.1	0.88	0.8	0.39	0.13
YJL061W	-0.29	-0.38	-0.24	0.05	-0.4	-0.24	0.43	-0.32
YJL062W	0.23	-0.09	-0.09	-0.07	0.03	-0.06	-0.07	0.31
YJL063C	0.34	0.96	0.9	1.03	0.76	0.57	0.15	-0.34
YJL064W	0.12	0.21	0.11	-0.2	-0.1	-0.06	-0.04	-0.04
YJL065C	0.06	0.25	-0.15	-0.2	-0.07	0.14	0.07	0.14
YJL066C	0.74	1.46	1.79	1.66	1.68	1.11	1.2	0.37
YJL067W	0.08	0.88	0.82	0.82	1.11	0.63	0.62	0.24
YJL068C	0.57	0.93	1.32	1.56	1.75	1.54	1.72	0.82
YJL069C	-1.12	-1.94	-2.64	-2.06	-1.51	-1.22	-0.84	-0.4
YJL070C	0.41	0.51	0.73	0.67	0.73	0.32	-0.18	-0.13
YJL071W	-0.15	-0.04	-0.3	-0.3	-0.34	-0.25	0.4	0.88
YJL072C	0.04	0.18	0.11	0.1	0.15	0.04	0.03	0.18
YJL073W	-0.24	-0.38	-0.14	0.06	0.44	0.49	0.58	0.61
YJL074C	-0.79	-0.71	-0.79	-0.76	-0.54	-0.36	-0.49	-0.18
YJL075C	-0.71	-0.79	-0.81	-1.15	-0.76	-0.79	-0.69	-0.29
YJL076W	-0.45	-0.94	-1.15	-1.09	-0.84	-0.94	-0.76	-0.2
YJL077C	-0.01	-0.22	-0.3	-0.09	0.1	0.16	0.24	0.07
YJL078C	-0.09	-0.22	-0.42	-0.17	-0.32	-0.08	-0.2	-0.59
YJL079C	0.21	0.1	0.03	0.52	0.77	0.82	0.84	0.26
YJL080C	-0.14	-0.58	-0.86	-0.81	-0.6	-0.81	-0.43	-0.38
YJL081C	-0.22	-0.42	-0.45	-0.45	-0.36	-0.1	-0.04	0.07
YJL082W	0.89	0.75	0.63	0.48	0.37	-0.09	-0.12	0.28
YJL083W	-0.14	-0.54	-0.38	-0.22	-0.01	-0.29	-0.04	0.03
