ORF	         Acid 0m	        Acid 10m	        Acid 20m		Acid 40m	        Acid 60m	        Acid 80m		Acid 100m
YBR023C	          376.50	          371.60	          335.10	          274.40	          388.10	          307.20	          257.00
YBR024W	           59.70	          156.40	           98.40	          125.90	          125.60	           75.20	           75.10
YBR025C	         3431.20	         3183.20	         2681.90	         1946.20	         2445.80	         2074.00	         2243.80
YBR026C	          125.10	          297.50	          308.50	          220.70	          256.80	           95.00	          168.10
YBR027C	           25.80	            NULL	           55.50	           41.40	            NULL	           11.70	            8.90
YBR028C	           80.40	           61.10	           52.50	           85.00	          105.60	           41.50	           91.60
YBR029C	          403.80	          322.20	          426.90	          479.20	          448.00	          315.10	          453.40
YBR030W	           25.80	            NULL	            NULL	           23.50	           39.90	            NULL	           44.10
YBR031W	        17470.20	        20846.40	        13217.30	        12591.40	        14098.60	        12801.70	        12768.90
YBR032W	          101.45	          191.70	           39.20	           41.40	           20.00	           69.20	           46.20
YBR033W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR034C	          722.25	          812.50	          605.90	          783.90	          907.50	          838.60	          560.90
YBR035C	          878.35	         1690.90	         1539.60	         1278.00	         1438.40	          902.10	         1086.10
YBR036C	          214.15	            NULL	          265.60	          236.00	          202.60	          245.70	          124.70
YBR037C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR038W	           98.60	          128.20	          141.30	           90.10	          156.90	          118.80	          110.20
YBR039W	          756.65	         1429.90	         1191.90	          909.30	         1338.50	          838.60	         1030.20
YBR040W	            NULL	            NULL	            NULL	            NULL	           39.90	            NULL	           21.30
YBR041W	          364.25	          530.30	          444.60	          474.10	          542.20	          323.00	          348.00
YBR042C	          226.90	            NULL	          159.00	          143.90	          291.10	          172.30	          135.10
YBR043C	          212.65	          226.90	          231.50	          205.30	          256.80	          198.10	          170.20
YBR044C	           71.60	           89.40	           62.90	           49.10	          111.30	           59.30	           81.30
YBR045C	            NULL	            NULL	            NULL	           13.30	            5.70	            NULL	            NULL
YBR046C	          207.85	          703.20	          582.20	          415.20	          408.10	          313.10	          252.90
YBR047W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR048W	        11418.90	        14648.20	         9383.40	         8321.00	        12254.90	        10063.30	        10333.50
YBR049C	          445.25	          615.00	          600.00	          397.30	          499.40	          432.10	          376.90
YBR050C	          194.15	          265.70	          259.70	          259.10	          194.00	          227.90	          168.10
YBR051W	            NULL	            NULL	           17.00	            NULL	           31.40	           17.70	            NULL
YBR052C	          660.60	         1768.50	         1816.30	         1178.20	         1449.80	          737.50	         1214.20
YBR053C	          184.10	          756.10	          629.60	          561.20	          702.10	          243.70	          408.00
YBR054W	          250.80	         4347.30	         2989.70	          947.70	          913.20	          793.00	          891.70
YBR055C	           81.90	          135.20	            NULL	           46.60	          111.30	           83.10	           79.20
YBR056W	          144.90	          858.40	          739.10	          466.40	          516.50	          311.20	          356.30
YBR057C	            NULL	           61.10	           45.10	           38.90	           62.80	           69.20	           40.00
YBR058C	          190.75	          346.90	          216.70	          253.90	          259.70	          196.10	          147.50
YBR059C	          254.55	          449.20	          324.80	          279.50	          325.30	          221.90	          271.50
YBR060C	           58.55	          103.50	           88.00	           61.90	           48.50	           85.10	           66.80
YBR061C	          333.70	          262.20	          188.60	          300.00	          379.60	          261.60	          271.50
YBR062C	         1032.70	         1641.60	         1319.10	         1354.80	         1401.30	          779.10	          858.60
YBR063C	          168.55	          167.00	          215.30	          151.50	          239.70	          132.70	          130.90
YBR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR066C	          143.05	           75.20	           45.10	          102.90	          174.10	           97.00	          118.50
YBR067C	         2896.90	         4058.00	         3093.30	         4247.80	         4460.70	         2585.60	         2419.50
YBR068C	         1059.90	         1384.00	          983.20	          809.50	         1144.40	         1015.10	          964.10
YBR069C	         1125.45	          636.20	          530.40	          827.40	          973.20	         1187.60	          786.30
YBR070C	          100.70	            NULL	            NULL	          159.20	          202.60	           77.20	          102.00
YBR071W	          153.40	          297.50	          311.40	          335.90	          348.20	          235.80	          312.90
YBR072W	            NULL	         1179.40	         1613.60	         1472.60	         1232.90	          457.90	          472.00
YBR073W	          881.80	          950.10	          916.60	         1080.90	         1224.30	          709.70	          833.80
YBR074W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            0.70
YBR075W	          357.25	          456.20	          366.20	          343.50	          436.60	          289.30	          416.20
YBR076W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR077C	          179.30	          202.20	          307.00	          305.10	          319.60	           95.00	          248.80
YBR078W	         1112.20	          879.60	          898.90	          988.70	         1204.40	         1169.80	         1034.40
YBR079C	         1256.65	         1585.10	         1314.70	         1280.60	         1780.90	         1167.80	         1439.60
YBR080C	          378.30	          759.60	          639.90	          507.40	          647.80	          418.20	          399.70
YBR081C	           71.20	           54.10	            NULL	            NULL	           74.20	            NULL	           85.40
YBR082C	         4180.15	         6432.20	         4250.40	         4091.60	         4763.20	         3313.30	         3602.10
YBR083W	          622.95	          805.50	          682.80	          696.80	          767.70	          719.60	          819.40
YBR084C-A	         9020.45	        11459.20	         7888.90	         6703.00	         9800.50	         7084.90	         8375.70
YBR084W	         1252.20	          830.20	          639.90	          722.40	          944.60	          812.80	          873.10
YBR085W	          314.95	          371.60	          241.90	          131.00	          156.90	            NULL	          161.90
YBR086C	         1550.05	         2978.60	         2341.60	         2020.50	         2277.40	         1695.20	         1948.20
YBR087W	          420.40	          449.20	          327.70	          315.40	          430.90	          271.50	          331.50
YBR088C	         1597.35	         1154.70	         1363.50	         1818.20	         2257.50	          991.30	         1826.20
YBR089W	            NULL	            NULL	            2.20	            NULL	           14.20	            0.00	           15.10
YBR090C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR091C	          226.75	          318.70	          252.30	          259.10	          305.40	          225.90	          215.70
YBR092C	         1225.40	          812.50	          568.90	          768.50	         1078.80	         1296.70	         1553.30
YBR093C	          859.20	          322.20	          716.90	          904.20	         1555.40	         1019.10	          666.40
YBR094W	            NULL	            NULL	            NULL	            NULL	           57.10	            NULL	            NULL
