ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YNL168C	          365.80	          370.60	          533.10	          617.90	          434.60	          517.20	          551.40
YNL169C	          330.65	          315.60	          248.60	          154.50	          187.80	          196.90	          233.00
YNL170W	           80.00	          119.40	           98.50	            NULL	           85.80	          102.50	           56.60
YNL171C	           30.00	            NULL	           74.80	            NULL	           20.80	           45.30	           31.00
YNL172W	          149.85	          165.20	            NULL	          123.40	            NULL	          145.70	          170.80
YNL173C	           71.30	          247.70	           76.80	           52.40	           63.50	           66.40	           76.50
YNL174W	          162.50	            NULL	          159.70	          181.30	          111.70	          105.50	           82.10
YNL175C	         1179.10	          442.10	          456.00	          395.60	          349.20	          465.00	          399.40
YNL176C	           63.25	           55.20	           63.00	           37.90	           74.60	           51.30	           87.60
YNL177C	          216.10	          412.70	          307.90	          210.30	          241.60	          239.10	          133.10
YNL178W	        16196.35	        12185.00	         9751.70	         7232.60	         8132.30	        10751.90	        10668.50
YNL179C	           26.70	            NULL	            NULL	            0.00	            NULL	            NULL	            NULL
YNL180C	          418.95	          506.30	          440.20	          362.30	          371.50	          454.00	          502.60
YNL181W	          136.60	          264.20	          248.60	          170.40	          163.70	          218.00	          214.10
YNL182C	          192.10	          112.00	           82.70	          103.10	           74.60	          120.60	          105.40
YNL183C	          135.25	          355.90	          232.80	          169.70	          156.30	          186.90	          146.40
