ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YJR018W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR019C	          133.60	            NULL	          246.20	           71.70	            NULL	          153.30	           72.30
YJR020W	            NULL	            NULL	           57.10	            NULL	            NULL	            NULL	            NULL
YJR021C	          116.30	            NULL	          204.20	           31.40	            NULL	           86.50	          150.70
YJR022W	          126.30	          181.70	          162.20	          115.60	           87.60	          163.50	          116.60
YJR023C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR024C	          948.60	          692.30	          533.50	          396.50	          527.70	          579.30	          639.80
YJR025C	          741.50	         2013.00	         1016.90	          877.90	         1042.80	          845.00	          674.00
YJR026W	         1676.85	         1338.50	         1549.40	         2339.10	         1013.40	         1440.40	         1446.40
YJR027W	         5089.50	         8978.90	         1689.50	         4978.30	         1818.70	         6161.80	         7724.60
YJR028W	         1839.90	         1269.20	         2011.80	         2740.70	         1049.30	         1807.50	         1901.40
YJR029W	         3479.70	         3639.50	         3392.00	         3041.70	         3047.70	         4413.90	         4117.20
YJR030C	          173.10	            NULL	          113.10	           56.00	          103.90	          153.30	          160.90
YJR031C	          193.55	          134.40	            NULL	           69.40	          130.00	          166.10	          183.00
YJR032W	          166.80	          191.20	           99.10	          111.90	          208.20	          128.90	          154.40
YJR033C	           64.20	            NULL	            NULL	           67.20	          110.40	            NULL	            NULL
YJR034W	          150.90	          178.60	            NULL	           26.20	            NULL	           59.60	            NULL
YJR035W	           56.80	            NULL	          232.20	           60.50	            NULL	            NULL	            NULL
YJR036C	            NULL	          106.10	            NULL	           26.20	            NULL	            NULL	            NULL
YJR037W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR038C	            NULL	            NULL	            NULL	           50.80	            NULL	            NULL	            NULL
YJR039W	           56.80	          200.60	            NULL	           23.20	            NULL	           72.40	          169.20
YJR040W	           76.65	           74.60	          183.20	           34.40	           87.60	           90.40	          133.20
YJR041C	           76.60	            NULL	          127.10	           49.30	            NULL	           98.10	           82.40
YJR042W	          283.55	          181.70	            NULL	          161.80	          237.50	          255.90	          191.30
YJR043C	          376.85	          534.80	          204.20	          352.60	          198.40	          356.00	          382.40
YJR044C	         1027.30	         2728.50	         1023.90	          906.90	         1143.90	         1579.00	         1453.80
YJR045C	         1753.55	         1656.90	         1108.00	         1666.20	         1440.50	         1558.50	         1692.80
YJR046W	          133.60	            NULL	            NULL	           86.60	           97.40	           82.70	           65.80
YJR047C	          357.60	            NULL	            NULL	            NULL	            NULL	           99.40	            NULL
YJR048W	          325.30	          172.30	          267.30	          243.80	          322.30	          338.10	          235.60
YJR049C	          265.30	          392.90	          302.30	          115.60	          266.90	          234.10	          253.20
YJR050W	          147.60	            NULL	            NULL	           55.30	          126.70	          104.50	           91.70
YJR051W	          101.40	            NULL	            NULL	            NULL	           58.20	            NULL	            NULL
YJR052W	           56.80	           87.20	            NULL	           59.70	          149.50	          108.30	          143.30
YJR053W	            NULL	            NULL	            NULL	            NULL	           77.80	            NULL	            NULL
YJR054W	          336.30	          418.10	          218.20	          380.90	          257.10	          497.20	          542.90
YJR055W	           54.30	            NULL	            NULL	            NULL	           38.70	            NULL	            NULL
YJR056C	          137.35	            NULL	          183.20	           62.70	          152.80	          101.90	          128.60
YJR057W	          175.25	          247.90	            NULL	          129.80	          224.50	          255.90	          271.60
YJR058C	          409.00	          607.20	          379.40	          191.60	          351.70	          525.40	          507.00
YJR059W	          233.85	          537.90	          316.30	          140.20	          348.40	          316.20	          240.20
YJR060W	          503.00	          295.20	          617.60	          338.40	          377.70	          354.70	          409.10
YJR061W	            2.30	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR062C	          122.65	          364.50	          211.20	          169.30	          136.50	          171.20	          180.30
YJR063W	          466.45	          288.90	          260.20	          202.80	          341.90	          449.70	          367.60
YJR064W	         1398.85	          909.80	          680.60	          616.30	          993.90	         1172.20	         1711.30
YJR065C	          493.35	         1307.00	          778.70	          664.00	          609.20	          837.30	         1081.00
YJR066W	          136.60	            NULL	          225.20	           67.90	          159.30	          150.70	          146.10
YJR067C	          245.05	          159.70	          127.10	          114.10	           68.00	          212.30	          152.60
YJR068W	          290.55	           99.80	          295.30	          178.90	          169.10	          221.30	          267.00
YJR069C	          378.45	          266.80	          316.30	          204.30	          429.90	          345.80	          303.90
YJR070C	         1027.85	          241.60	          330.30	          276.60	          547.30	          576.80	          637.10
YJR071W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR072C	          718.65	          645.10	          288.30	          447.20	          442.90	          696.10	          736.70
YJR073C	          443.95	         1820.80	         1472.30	         1304.80	         1401.40	          900.20	         1029.30
YJR074W	          249.95	          660.80	          428.40	          265.40	          273.40	          335.50	          253.20
YJR075W	          228.10	            NULL	          176.20	          123.10	           90.80	          146.80	          399.90
YJR076C	          417.75	          367.70	          365.30	          198.30	          306.00	          366.30	          448.80
YJR077C	         1641.00	         2649.70	         2341.10	         2105.90	         2011.00	         2080.80	         2950.70
YJR078W	           37.00	            NULL	          323.30	           94.70	          139.70	           90.40	          264.20
YJR079W	            NULL	            NULL	            NULL	            NULL	            NULL	           14.70	           15.10
YJR080C	          166.25	          629.30	            NULL	          225.90	          263.60	          245.70	          329.80
YJR082C	          234.95	          487.50	          218.20	          304.90	          279.90	          607.60	          548.50
YJR083C	          128.60	            NULL	            NULL	           82.80	            NULL	            NULL	            NULL
YJR084W	          327.45	          550.50	          337.30	          228.10	          319.00	          321.40	          369.40
YJR085C	         2029.10	         4178.40	         2985.70	         1861.50	         3148.80	         3155.00	         2519.70
YJR086W	          222.45	          556.80	          281.30	          131.30	          191.90	          286.70	          234.70
YJR087W	           37.00	          270.00	           85.10	           74.60	            NULL	          114.80	            NULL
YJR088C	          191.75	          556.80	          197.20	          175.20	          224.50	          276.50	          291.90
YJR089W	          115.50	          128.10	            NULL	           98.50	          191.90	           54.40	            NULL
YJR090C	          103.90	          112.40	            NULL	           46.30	          126.70	           84.00	            NULL
YJR091C	          120.65	          106.10	          246.20	          231.90	           45.20	          117.30	          267.00
YJR092W	           87.40	            NULL	            NULL	           31.40	            NULL	          104.50	          164.60
YJR093C	           54.30	            NULL	            NULL	           62.00	           68.00	           55.70	           62.10
YJR094C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR094W-A	        14598.90	        11822.00	         5725.10	         6756.20	         8019.40	        11989.40	        11969.80
YJR095W	           29.50	            NULL	            NULL	            NULL	            NULL	          130.20	           76.90
YJR096W	          227.70	          664.00	          267.30	          102.90	          201.70	          194.30	          193.20
YJR097W	          124.65	            NULL	           78.10	           53.00	            NULL	          100.60	           98.10
YJR098C	           17.20	            NULL	            NULL	            NULL	            NULL	           17.20	           64.00
YJR099W	          176.55	          427.60	            NULL	          152.90	          113.70	          227.70	          119.40
YJR100C	          221.40	          717.60	          302.30	          214.00	          178.90	          327.80	          302.10
YJR101W	          263.60	          623.00	            NULL	          225.90	          198.40	          338.10	          268.90
YJR102C	           54.30	            NULL	            NULL	            NULL	            NULL	           45.50	            NULL
YJR103W	          289.70	          657.70	          631.60	          484.50	          635.30	          673.00	          634.30
YJR104C	         5291.10	         9924.50	         6159.50	         4419.50	         7041.40	         5397.00	         4430.90
YJR105W	         3171.90	         1883.80	         1605.40	         2206.40	         2891.30	         2708.40	         3506.20
YJR106W	            NULL	          102.90	            NULL	            5.30	            NULL	            0.00	            NULL
YJR107W	          173.80	          295.20	            NULL	           79.80	          146.30	          245.70	          330.70
YJR108W	           42.60	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR109C	          178.05	          689.20	          540.50	          229.60	            NULL	          433.00	          449.70
YJR110W	            NULL	            NULL	            NULL	           44.80	            NULL	           82.70	            NULL
YJR111C	          191.85	          339.30	          162.20	          138.70	          100.60	          204.60	          216.30
YJR112W	          290.55	          232.20	            NULL	          151.40	          293.00	          252.10	          294.70
YJR113C	          340.05	         1335.40	          239.20	          306.40	          452.70	          492.10	          313.20
YJR114W	          168.75	          263.70	          225.20	          136.50	            NULL	          159.70	          138.70
YJR115W	          106.40	            NULL	            NULL	            NULL	            NULL	          167.40	          232.90
YJR116W	          398.25	          588.30	          274.30	          462.80	          384.30	          716.60	          578.90
YJR117W	          659.45	         1272.30	          407.40	          766.10	          707.00	          865.50	         1403.00
YJR118C	          166.25	          222.70	          176.20	          139.50	          103.90	          276.50	          295.60
YJR119C	           29.80	           49.30	            NULL	           42.60	            NULL	           71.10	            NULL
YJR120W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR121W	          897.15	         1388.90	         1023.90	          641.70	         1104.70	         1105.50	          968.40
YJR122W	           90.60	          172.30	           92.10	           70.20	           94.10	           86.50	          105.50
YJR123W	        13942.55	         8890.70	         6453.80	         5659.40	         6558.90	         7895.60	         8245.10
YJR124C	          337.65	          106.10	            NULL	          109.70	           97.40	          159.70	          172.90
YJR125C	          321.90	          745.90	          456.40	          392.80	          540.70	          578.00	          648.10
YJR126C	          310.05	          348.80	           85.10	          202.00	          296.20	          244.40	          224.60
YJR127C	           74.85	            NULL	            NULL	           24.00	          110.40	           80.10	          148.00
YJR128W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	           10.50
YJR129C	           59.30	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR130C	          106.25	          194.30	            NULL	          167.00	          201.70	          245.70	          247.60
YJR131W	           61.15	          181.70	          288.30	          138.00	           77.80	          101.90	          160.00
YJR132W	           49.40	            NULL	            NULL	            NULL	           55.00	           60.90	          156.30
YJR133W	          827.70	          982.30	          554.50	          498.60	          795.00	          698.70	          636.20
YJR134C	          166.15	          203.80	          120.10	          152.90	           61.50	          220.00	          251.30
YJR135C	            8.50	           65.10	            NULL	            NULL	            NULL	            NULL	            NULL
YJR136C	          109.35	          134.40	            NULL	           38.90	           55.00	          121.20	           86.10
YJR137C	          121.20	          137.60	           71.10	            5.30	            NULL	           87.80	           76.90
YJR138W	          106.00	          197.50	            NULL	           77.60	          156.00	          143.00	          143.30
YJR139C	         1988.05	         2580.40	         1269.10	         1615.60	         1942.60	         2132.20	         1870.90
YJR140C	           66.70	            NULL	          267.30	            0.00	            NULL	           92.90	            NULL
YJR141W	          119.85	          131.30	            NULL	            NULL	            NULL	            NULL	            NULL
YJR142W	          108.10	          109.20	          288.30	          112.60	           68.00	          155.80	          237.50
YJR143C	         1555.55	          815.30	          519.50	          868.90	          863.50	         1259.50	         1392.00
YJR144W	          464.35	          260.50	          281.30	          296.70	          482.10	          467.70	          444.20
YJR145C	         9687.00	         5146.10	         3952.50	         4710.10	         5711.20	         8267.80	         8514.60
YJR146W	           46.90	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR147W	          135.15	            NULL	          113.10	            NULL	           45.20	            NULL	           35.40
YJR148W	         1636.05	         2120.20	         1962.80	         1574.60	         1737.20	         1557.20	         1468.60
YJR149W	           81.25	           68.30	           57.10	           24.00	           58.20	           54.40	           53.80
YJR150C	          178.20	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR151C	          176.70	          481.20	          155.20	          219.20	          133.20	          297.00	          349.10
YJR152W	           74.40	            NULL	            NULL	           71.70	          107.10	          132.70	          167.30
YJR153W	            NULL	          106.10	            NULL	           43.30	            NULL	           39.00	           89.80
YJR154W	           76.15	          175.40	            NULL	           93.30	           71.30	           94.20	           40.00
YJR155W	           56.80	          121.80	            NULL	           70.20	           71.30	          153.30	          132.30
YJR156C	            NULL	          288.90	            NULL	          118.60	            NULL	          122.50	          114.70
YJR157W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR158W	            NULL	            NULL	            NULL	            NULL	            NULL	           18.50	            NULL
YJR159W	          245.50	          500.10	          190.20	          331.70	          312.50	          424.00	          423.90
YJR160C	           81.00	          150.20	            NULL	           47.10	            NULL	           49.30	           51.10
YJR161C	          195.50	          251.10	          106.10	          255.00	          234.30	          259.80	          358.40
YJR162C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL001C	          616.85	         4733.20	         1129.00	          991.90	         1874.10	         1621.40	         1040.40
YKL002W	          428.05	          635.60	          344.30	          272.80	          527.70	          493.30	          319.60
YKL003C	          324.15	          783.80	          246.20	          255.70	          433.20	          397.10	          399.00
YKL004W	          983.30	          541.10	          365.30	          615.60	          592.90	          710.20	         1017.30
YKL005C	           89.00	            NULL	            NULL	           20.20	            NULL	            NULL	            NULL
YKL006C-A	          114.85	          166.00	          155.20	           65.70	           84.30	          161.00	          156.30
YKL006W	         8569.95	         4648.10	         2782.50	         4573.00	         4329.00	         7039.60	         7591.70
YKL007W	          366.15	          868.90	          421.40	          412.90	          449.50	          638.40	          638.90
YKL008C	          482.25	          298.40	            NULL	          143.20	          191.90	          453.60	          375.90
YKL009W	         3029.20	         1360.60	          953.90	         1522.40	         1861.10	         2559.50	         1824.80
YKL010C	          400.60	          288.90	          232.20	          159.60	          387.50	          335.50	          375.00
YKL011C	           71.70	            NULL	            8.00	            NULL	            NULL	            NULL	            NULL
YKL012W	          328.20	          506.40	          449.40	          256.40	          260.40	          307.30	          334.40
YKL013C	          321.20	          925.60	          351.30	          304.10	          504.90	          542.10	          498.60
YKL014C	          240.50	            NULL	            NULL	          149.10	          152.80	          236.70	          280.90
YKL015W	           56.80	           71.40	            NULL	           51.50	           25.60	           55.70	          137.80
YKL016C	          540.85	         1045.40	          533.50	          450.20	          697.20	          787.20	          857.60
YKL017C	           51.80	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL018W	          130.90	          184.90	            NULL	          100.70	           90.80	          134.00	          100.00
YKL019W	          280.80	          270.00	          281.30	          149.10	          234.30	          213.60	          242.10
YKL020C	           73.05	           11.50	            NULL	           36.60	           74.50	           51.90	            NULL
YKL021C	          498.45	          311.00	          176.20	          266.90	          231.00	          368.90	          419.30
YKL022C	          110.45	            NULL	            NULL	           46.30	          204.90	          110.90	          140.60
YKL023W	           71.55	            NULL	            NULL	           55.30	           74.50	           84.00	           74.10
YKL024C	         1164.30	         1139.90	          596.50	          674.50	         1183.00	         1221.00	         1246.20
YKL025C	          101.15	          311.00	           92.10	          111.10	          100.60	          173.80	          212.60
YKL026C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	          160.90
YKL027W	          153.20	          159.70	          288.30	           83.60	          103.90	          105.80	          117.50
YKL028W	         1357.85	         1499.30	          876.80	         1308.60	         1645.90	         1638.10	         1723.30
YKL029C	          837.85	         1351.10	         1829.60	          690.10	          821.10	          997.70	         1247.10
YKL030W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL031W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL032C	          287.15	            NULL	          204.20	            NULL	          136.50	          261.10	          348.20
YKL033W	          155.90	            NULL	          113.10	            NULL	            NULL	          123.70	          331.60
YKL033W-A	         1188.00	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL034W	          187.80	          418.10	            NULL	          101.50	          195.20	          243.10	          195.90
YKL035W	         1186.25	         3579.60	         1108.00	          917.40	         1111.30	         1278.70	         1571.90
YKL036C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL037W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL038W	          160.35	           49.30	          176.20	           17.30	          169.10	           81.40	          170.10
YKL039W	          433.15	         1010.70	          232.20	          370.40	          628.80	          680.70	          601.10
YKL040C	          158.60	          188.00	            NULL	          161.10	          211.50	          231.50	          342.70
YKL041W	          160.55	          156.50	          190.20	          170.80	          185.40	          252.10	          315.90
YKL042W	            NULL	            NULL	            NULL	            NULL	           35.40	            NULL	           78.70
YKL043W	          257.55	          531.60	          505.50	          105.90	           38.70	          169.90	          195.90
YKL044W	          270.30	            NULL	          148.10	          140.90	          139.70	          107.10	          147.00
YKL045W	          221.15	            NULL	            NULL	           97.70	          257.10	          341.90	          363.00
YKL046C	          834.50	         1225.00	          421.40	          791.40	          814.60	         1114.50	         1089.30
YKL047W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL048C	            9.70	            NULL	            NULL	            0.00	            0.00	            0.00	            NULL
YKL049C	           81.10	          162.80	            NULL	           77.60	           74.50	          177.60	          135.00
YKL050C	            NULL	            NULL	            NULL	            NULL	            NULL	           35.20	            NULL
YKL051W	           69.20	            NULL	          106.10	           13.50	            NULL	           76.30	           35.40
YKL052C	          130.95	           99.80	          169.20	           36.60	          126.70	           95.50	            NULL
YKL053C-A	         1610.35	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL053W	            NULL	           33.60	            NULL	           95.50	            NULL	            NULL	            NULL
YKL054C	         1818.85	         2485.80	         1276.20	          197.60	         1766.50	         1505.90	         1187.10
YKL055C	           17.20	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL056C	        12280.30	         5395.10	         5381.80	         5498.40	        10275.40	         8822.20	         9146.80
YKL057C	          182.75	          276.30	            NULL	          149.90	          169.10	          239.20	          268.90
YKL058W	          608.65	          550.50	          575.50	          657.30	          690.70	          801.30	          605.70
YKL059C	          428.15	            NULL	          288.30	          213.20	          250.60	          291.90	          351.90
YKL060C	        21373.05	        29763.10	        22834.30	        11602.50	        24372.00	        19815.20	        14420.90
YKL061W	           87.30	          143.90	          106.10	           59.00	           90.80	          103.20	          176.60
YKL062W	          205.30	            NULL	            NULL	          210.20	          149.50	          139.10	            NULL
YKL063C	          348.40	          389.80	          155.20	          205.80	          299.50	          332.90	          350.10
YKL064W	           73.10	          232.20	            NULL	           38.10	           94.10	          132.70	           58.40
YKL065C	         1169.70	         3998.80	         1612.50	         1791.40	         2597.90	         3130.60	         2697.80
YKL066W	          238.95	         1004.40	            NULL	          249.70	            NULL	            NULL	          409.10
YKL067W	          680.55	         1767.20	         1136.00	          863.70	         1522.00	         1527.70	         1541.50
YKL068W	          603.75	          723.90	          400.40	          456.10	          364.70	          436.90	          542.90
YKL069W	          188.10	            NULL	            NULL	          245.30	          257.10	          362.40	          517.10
YKL070W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL071W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	           80.60
YKL072W	          107.05	          128.10	            NULL	           32.90	            NULL	          109.60	           95.40
YKL073W	          157.75	            NULL	            NULL	            2.40	          130.00	           98.10	           26.10
YKL074C	          293.40	          197.50	          176.20	          176.70	          279.90	          353.50	          207.00
YKL075C	           86.10	            NULL	           64.10	           45.60	           64.80	           86.50	           50.10
YKL076C	          152.55	          191.20	           29.00	           66.40	          172.30	          126.30	          100.00
YKL077W	          845.05	         1243.90	          435.40	          896.50	          674.40	         1005.40	         1004.40
YKL078W	          218.40	            NULL	            NULL	           67.20	           55.00	            NULL	            NULL
YKL079W	           57.85	            NULL	          148.10	           51.50	            NULL	           75.00	          188.60
YKL080W	         1432.90	         2025.60	         1185.10	         1175.20	         1274.30	         1690.70	         2010.30
YKL081W	         1735.15	          733.30	          659.60	          966.60	         1202.50	          892.50	          946.20
YKL082C	          511.70	          285.70	          232.20	          331.00	          394.00	          625.50	          428.50
YKL083W	          201.05	            NULL	          113.10	            NULL	            NULL	          334.20	          239.30
YKL084W	          462.40	          550.50	          155.20	          463.60	          439.70	          593.40	          567.90
YKL085W	          612.80	         1764.00	          477.40	          393.50	          459.20	          424.00	          390.70
YKL086W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL087C	          349.70	          405.50	          260.20	          141.70	          237.50	          336.80	          284.50
YKL088W	          188.10	          241.60	          183.20	          170.80	          276.70	          199.50	          179.30
YKL089W	          116.30	           65.10	            NULL	           73.90	           19.10	          110.90	           40.00
YKL090W	           22.10	            NULL	            NULL	            NULL	            NULL	            0.00	            NULL
YKL091C	           51.80	          443.30	            NULL	           29.90	          136.50	           51.90	          123.00
YKL092C	           66.70	           52.50	           36.00	           36.60	            NULL	           37.80	          122.10
YKL093W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL094W	          938.05	         1987.80	          659.60	          912.20	         1075.40	         1502.00	         2047.20
YKL095W	           17.20	          222.70	            NULL	          105.20	           87.60	          122.50	          158.10
YKL096W	         1633.90	         3261.20	         1255.10	         1288.40	         1293.80	         1478.90	         2245.60
YKL097C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL098W	          171.25	          194.30	           92.10	           88.80	           64.80	          117.30	          152.60
YKL099C	          830.95	          358.20	          344.30	          309.30	          521.20	          456.10	          423.90
YKL100C	          172.60	          591.50	           85.10	          211.70	          146.30	          209.70	          181.20
YKL101W	          263.05	          471.70	          190.20	          111.10	          266.90	          493.30	          499.60
YKL102C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL103C	           81.60	          831.00	          225.20	          163.30	          348.40	          252.10	          284.50
YKL104C	          253.05	          263.70	          274.30	          617.10	          654.80	          712.80	          936.10
YKL105C	          147.05	          333.00	          267.30	          135.70	            NULL	            NULL	            NULL
YKL106W	          290.50	            NULL	          141.10	           59.00	          185.40	          162.20	          112.90
YKL107W	            NULL	            NULL	           85.10	           12.80	            NULL	           33.90	            NULL
YKL108W	          126.90	            NULL	            NULL	           53.80	            NULL	          139.10	          149.80
YKL109W	           82.30	            NULL	            NULL	          109.70	           74.50	            NULL	            NULL
YKL110C	          363.40	          257.40	            NULL	          184.90	          299.50	          303.40	          399.90
YKL111C	          169.60	          304.70	            NULL	          201.30	           64.80	          207.20	          160.90
YKL112W	          540.60	          572.60	          211.20	          232.60	          279.90	          336.80	          413.70
YKL113C	          505.25	          159.70	          113.10	          131.30	          250.60	          356.00	          325.10
YKL114C	          303.45	          430.70	          281.30	          155.90	          224.50	          321.40	          243.90
YKL115C	          237.60	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL116C	          106.40	            NULL	            NULL	            NULL	            NULL	           59.60	            NULL
YKL117W	         3328.50	         4355.00	         3840.40	         4001.50	         3765.00	         4046.90	         4664.40
YKL118W	            NULL	            NULL	            NULL	           21.00	           61.50	            NULL	            NULL
YKL119C	          264.30	          342.50	          120.10	          209.50	          211.50	          313.70	          411.90
YKL120W	         1993.75	         2362.90	          687.60	          857.00	          576.60	          941.20	          967.50
YKL121W	          199.70	          616.70	          253.20	          188.60	          165.80	          321.40	          303.00
YKL122C	          692.70	          727.00	          477.40	          484.50	          700.50	          865.50	          657.40
YKL123W	          273.10	         1225.00	           99.10	          323.50	          191.90	          472.80	          590.90
YKL124W	           81.40	          188.00	          134.10	           59.70	           45.20	           86.50	           95.40
YKL125W	          380.25	          298.40	            NULL	          111.10	           84.30	          176.40	          130.40
YKL126W	          498.65	         1017.00	          456.40	          561.20	          576.60	          950.20	          746.90
YKL127W	          578.80	          774.30	          533.50	          260.90	          563.60	          560.10	          758.90
YKL128C	          671.15	          361.40	          631.60	          464.30	          456.00	          323.90	          463.60
YKL129C	           51.10	            NULL	          218.20	           93.30	          123.40	           99.40	            NULL
YKL130C	          146.30	            NULL	            NULL	           95.50	          165.80	           94.20	          170.10
YKL131W	           19.60	            NULL	            NULL	            NULL	            NULL	            NULL	           51.10
YKL132C	          118.80	          169.10	            NULL	           18.00	            NULL	            NULL	            NULL
YKL133C	           28.60	          191.20	            NULL	            NULL	           19.10	           69.80	           44.60
YKL134C	           32.00	            NULL	            NULL	            NULL	           45.20	            NULL	            NULL
YKL135C	          579.65	          645.10	          442.40	          336.20	          469.00	          606.30	          495.90
YKL136W	           89.20	          225.90	          211.20	          101.50	            NULL	          118.60	           82.40
YKL137W	          174.60	            NULL	          113.10	           31.40	          130.00	           86.50	           63.10
YKL138C	          238.05	          358.20	          365.30	          115.60	          178.90	          116.00	          201.50
YKL139W	          108.65	            NULL	          288.30	            NULL	            NULL	           42.90	           72.30
YKL140W	          340.05	          490.60	          393.40	          247.50	          459.20	          403.50	          328.80
YKL141W	          223.75	          764.80	          484.40	          346.60	          599.40	          574.20	          429.40
YKL142W	          529.40	         3910.50	         1276.20	         1208.70	         1776.30	         1711.20	         1879.20
YKL143W	            NULL	            NULL	            NULL	            NULL	            NULL	           63.40	           58.40
YKL144C	          282.20	            NULL	            NULL	           80.60	          221.20	          257.20	          289.20
YKL145W	         2136.55	         2760.10	         1997.80	         1772.80	         2268.60	         2327.20	         2459.70
YKL146W	          485.95	          982.30	          211.20	          641.70	          684.20	          815.50	          849.30
YKL147C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL148C	          176.60	          411.80	          141.10	          193.10	          221.20	          335.50	          200.60
YKL149C	          236.85	          553.70	            NULL	          234.10	          231.00	          264.90	          279.90
YKL150W	          333.75	         1329.10	            NULL	          342.90	          403.80	          430.50	          627.80
YKL151C	          302.70	         1615.90	         1023.90	          579.80	          749.40	          590.90	         1013.60
YKL152C	         9042.40	        16559.50	        16115.40	         6316.60	        11119.70	         2644.20	         7549.30
YKL153W	          119.05	           96.60	            NULL	           24.70	           77.80	          116.00	           79.70
YKL154W	          309.90	          206.90	          288.30	          146.20	          289.70	          264.90	          228.20
YKL155C	          131.10	           33.60	            NULL	           29.20	           45.20	            NULL	           24.30
YKL156W	         9058.65	         7380.90	         4464.00	         3046.90	         3442.20	         5504.80	         5196.00
YKL157W	         1270.90	         2760.10	         1374.20	         1954.60	         1760.00	         2125.70	         2528.00
YKL158W	            NULL	            NULL	            NULL	          117.80	            NULL	          105.80	            NULL
YKL159C	           66.70	          282.60	          211.20	          178.90	          182.10	          185.30	          280.90
YKL160W	          842.70	          865.70	          785.70	          756.40	         1127.60	          999.00	         1079.10
YKL161C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	           53.80
YKL162C	            NULL	            NULL	          204.20	           29.90	            NULL	           24.90	            NULL
YKL162C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL163W	         1249.40	         2829.40	            NULL	         1786.90	          703.70	         1657.30	         1941.10
YKL164C	         5343.55	        10958.40	         4646.20	         2693.00	         1495.90	         3887.80	         4492.80
YKL165C	          717.85	          493.80	          435.40	          263.90	          410.30	          778.20	          743.20
YKL166C	          196.10	            NULL	           15.00	           58.20	           81.10	           58.30	           89.80
YKL167C	          211.30	          383.50	          218.20	          122.30	          227.80	          196.90	          194.10
YKL168C	          137.55	          288.90	          106.10	          149.10	          143.00	          159.70	          140.60
YKL169C	          130.45	          292.00	            NULL	          144.70	            NULL	          167.40	            NULL
YKL170W	          234.60	          254.20	          372.30	          157.30	          218.00	          225.10	          189.50
YKL171W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL172W	         1306.50	          452.80	          547.50	          701.30	         1023.20	         1054.20	         1099.40
YKL173W	          170.55	          178.60	          113.10	          144.70	          175.60	          212.30	          155.30
YKL174C	          396.70	          326.70	          302.30	          177.50	          452.70	          442.00	          365.80
YKL175W	          544.50	         1004.40	          379.40	          398.00	          570.10	          765.40	          610.30
YKL176C	          215.65	          383.50	          141.10	           91.00	          162.60	          207.20	          272.50
YKL177W	            NULL	            NULL	            NULL	            NULL	            NULL	          101.90	          139.70
YKL178C	            4.80	            NULL	            NULL	           50.80	            NULL	            NULL	           88.90
YKL179C	          263.10	          304.70	          274.30	          272.80	          244.10	          250.80	          305.80
YKL180W	        13769.25	         8953.70	         8303.40	         9147.30	        11533.80	        12116.50	        13151.00
YKL181W	         2409.15	         1206.10	          799.70	         1232.60	         1603.50	         1563.60	         1719.60
YKL182W	         2015.90	         1209.30	          750.70	          857.00	          945.00	         1745.90	         1925.40
