ORF	         NaCl 0m	        NaCl 15m	        NaCl 30m	        NaCl 45m	        NaCl 60m	       NaCl 120m
YJL211C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL212C	         1678.00	          412.40	          245.40	          262.40	          450.20	          351.90
YJL213W	           96.00	           42.40	          352.80	          386.30	          181.70	            NULL
YJL214W	            NULL	            NULL	            NULL	           51.70	            NULL	            NULL
YJL215C	            NULL	            NULL	            NULL	           28.90	            NULL	            NULL
YJL216C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL217W	          878.00	          881.00	          477.10	          245.10	          250.00	            NULL
YJL218W	          230.00	          195.50	            NULL	            NULL	            NULL	            NULL
YJL219W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL220W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL221C	           67.00	           90.60	          217.80	          120.10	            NULL	            NULL
YJL222W	          356.00	            NULL	            NULL	          283.10	            NULL	            NULL
YJL223C	          572.00	            0.00	         1043.20	          842.50	            NULL	            NULL
YJL225C	         9284.00	         5037.40	         3573.80	         4887.00	         3432.30	         2965.20
YJR001W	         1643.00	         1107.20	         1657.60	          478.60	          891.60	          574.60
YJR002W	          789.00	          403.20	          257.70	            NULL	            NULL	          214.90
YJR003C	          367.00	          109.00	          262.30	            NULL	          228.80	            NULL
YJR004C	          209.00	          126.00	          187.10	          368.90	            NULL	            NULL
YJR005W	          114.00	          144.50	          244.60	          363.50	            NULL	            NULL
YJR006W	            NULL	           67.90	           67.40	           51.70	            NULL	            NULL
YJR007W	          802.00	          307.50	          277.60	          305.90	          444.10	          334.80
YJR008W	           77.00	          259.30	         1406.80	         1557.40	          817.30	            NULL
YJR009C	        20491.00	        16308.50	        20324.40	        16422.70	        19170.60	        11803.40
YJR010C-A	          339.00	          580.50	          456.40	          453.60	          541.20	          369.10
YJR010W	           79.00	           69.30	          208.60	          214.60	            NULL	            NULL
YJR011C	            NULL	           21.10	          109.60	            NULL	           84.70	            NULL
YJR012C	          140.00	          345.80	          375.00	          351.50	            NULL	          266.30
YJR013W	          478.00	          391.20	          531.50	          552.50	          595.80	          229.60
YJR014W	         2097.00	         1438.20	          625.10	          889.30	         1320.90	          838.90
YJR015W	         2542.00	         1218.50	         1894.60	         2359.10	         1926.10	         1587.60
YJR016C	         3572.00	         1181.60	          884.40	          781.70	         1229.80	          853.50
YJR017C	         1894.00	          367.10	          189.40	          242.90	          286.40	          337.20
YJR018W	          200.00	          106.20	            NULL	            NULL	            NULL	            NULL
YJR019C	          606.00	          379.80	          492.40	          538.40	          371.30	          256.50
YJR020W	            NULL	          109.00	            NULL	           73.40	            NULL	            NULL
YJR021C	          544.00	          447.90	          493.20	          347.20	            NULL	            NULL
YJR022W	          214.00	          512.40	          860.60	          562.30	          491.20	          772.80
YJR023C	            NULL	            NULL	           48.30	            NULL	            NULL	            NULL
YJR024C	         1954.00	         1262.40	         1695.20	          810.00	         1640.90	         1157.00
YJR025C	         1614.00	         1260.30	         2430.00	         2213.50	         3450.50	         1952.20
YJR026W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR027W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR028W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR029W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR030C	          406.00	          127.50	          144.90	          159.20	          222.70	            NULL
YJR031C	          472.00	          146.60	          131.10	          259.20	          309.10	            NULL
YJR032W	          113.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR033C	          501.00	          113.30	          268.40	          309.20	            NULL	            NULL
YJR034W	          262.00	          122.50	          203.20	          285.30	          286.40	            NULL
YJR035W	            NULL	            NULL	            NULL	            NULL	          195.40	            NULL
YJR036C	          158.00	            NULL	          735.60	          448.20	          651.90	            NULL
YJR037W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR038C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR039W	          172.00	            NULL	          145.70	          192.90	            NULL	            NULL
YJR040W	          143.00	           38.10	           93.50	          158.20	            NULL	            NULL
YJR041C	          382.00	          213.90	            NULL	            NULL	            NULL	            NULL
YJR042W	          822.00	          608.80	          622.80	          787.10	          644.40	          430.20
YJR043C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR044C	         2045.00	         1801.20	         2302.70	         5557.20	         4343.90	         2737.70
YJR045C	         1138.00	          654.20	         1321.60	          627.50	         1589.30	          533.00
YJR046W	          416.00	          293.30	          402.70	          303.70	          319.80	            NULL
YJR047C	         2433.00	         1231.20	          856.00	          556.80	          797.60	          525.70
YJR048W	          384.00	          166.40	           69.70	            NULL	            NULL	            NULL
YJR049C	          372.00	          201.90	          395.80	          352.60	          425.90	          251.60
YJR050W	          248.00	          164.30	          330.60	          420.00	          378.90	            NULL
YJR051W	          609.00	          237.30	          381.20	          451.50	          620.10	          366.60
YJR052W	          326.00	           75.00	          139.60	          333.10	          536.70	            NULL
YJR053W	           57.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR054W	          391.00	          179.90	          141.90	          144.00	          312.20	          276.10
YJR055W	            NULL	           17.60	            NULL	            NULL	            NULL	            NULL
YJR056C	          238.00	          140.20	          231.60	          161.40	            NULL	            NULL
YJR057W	          196.00	          194.10	          228.50	            NULL	          140.80	           85.20
YJR058C	          618.00	          518.10	          992.50	          808.90	         1155.50	          530.60
YJR059W	          872.00	          469.20	         2252.80	         2340.60	         1295.10	          604.00
YJR060W	          503.00	          252.20	          233.10	          286.30	            NULL	          359.30
YJR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR062C	           59.00	            NULL	          143.40	           86.50	            NULL	            NULL
YJR063W	         1873.00	          426.60	          514.70	          473.20	         1188.90	          437.60
YJR064W	         5367.00	         1665.10	         1970.60	         2541.60	         3987.40	         1176.50
YJR065C	         3531.00	         1486.50	         2967.80	         3042.40	         3755.30	         1749.10
YJR066W	          238.00	           85.60	          135.70	          118.00	          262.10	            NULL
YJR067C	          128.00	           55.10	          142.60	           94.10	          286.40	           70.50
YJR068W	          284.00	           60.10	          207.80	          192.90	          969.00	            NULL
YJR069C	          618.00	          513.80	            NULL	            NULL	          266.70	            NULL
YJR070C	         5037.00	         1465.90	          509.30	          196.20	          183.30	          347.00
YJR071W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR072C	         1524.00	          777.50	            NULL	          119.10	            NULL	            NULL
YJR073C	          503.00	          355.70	          715.60	         2674.10	         1713.70	            NULL
YJR074W	          648.00	          625.10	          677.30	         1705.10	         1317.80	          753.20
YJR075W	          170.00	          115.40	          181.70	            NULL	            NULL	            NULL
YJR076C	         1023.00	          806.60	         1415.20	          943.60	          846.10	          660.20
YJR077C	         5561.00	         2432.10	         3365.90	         3267.20	         3323.00	         1502.00
YJR078W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR079W	            NULL	            NULL	          108.90	          113.60	            NULL	            NULL
YJR080C	          339.00	          192.00	          374.30	          251.60	          227.20	          188.00
YJR082C	          204.00	          252.90	          540.00	          462.30	          436.60	          312.80
YJR083C	          142.00	          118.90	          355.90	          305.90	          385.00	            NULL
YJR084W	          283.00	          321.00	          855.20	          806.70	          627.70	            NULL
YJR085C	         4781.00	         3716.70	         8526.00	         8252.40	        10945.00	         6437.40
YJR086W	          301.00	          800.20	         1036.30	          707.80	          554.90	          679.80
YJR087W	          182.00	          191.30	          217.00	          273.30	            NULL	            NULL
YJR088C	          445.00	          771.90	          798.50	          599.20	          730.80	          520.80
YJR089W	           73.00	            NULL	          160.30	            NULL	            NULL	            NULL
YJR090C	          225.00	            NULL	          295.30	          519.90	          286.40	            NULL
