ORF	     Sorbitol 0m	    Sorbitol 15m	    Sorbitol 30m	    Sorbitol 45m	    Sorbitol 90m	   Sorbitol 120m
YJR082C	          204.00	          225.60	            NULL	          377.60	          347.80	          258.80
YJR083C	          142.00	          266.20	          518.70	          222.90	            NULL	          199.80
YJR084W	          283.00	          473.00	          706.90	          768.40	            NULL	          266.10
YJR085C	         4781.00	         4820.90	         7007.40	         9638.70	         4549.30	         5746.70
YJR086W	          301.00	          197.90	          553.80	          559.40	            NULL	            NULL
YJR087W	          182.00	          237.60	          219.80	          248.70	            NULL	            NULL
YJR088C	          445.00	          229.30	          505.80	          627.30	          380.40	          356.30
YJR089W	           73.00	           45.60	            NULL	            NULL	            NULL	            NULL
YJR090C	          225.00	            NULL	          358.20	            NULL	            NULL	          174.90
YJR091C	          884.00	          785.10	         2085.10	         1258.20	         1046.10	          580.20
YJR092W	          115.00	            NULL	            NULL	          108.90	            NULL	          167.60
YJR093C	          956.00	            NULL	         1005.80	         1062.80	          944.80	            NULL
YJR094C	          306.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR094W-A	        20762.00	         8843.70	         5400.50	        14436.90	        17485.60	        14433.50
YJR095W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR096W	          833.00	         1256.90	         2913.50	         2198.60	          755.10	         1033.20
YJR097W	          117.00	            NULL	            NULL	          156.40	          234.90	          121.00
YJR098C	          109.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR099W	          130.00	           56.60	            NULL	            NULL	            NULL	            NULL
YJR100C	          274.00	          125.00	          218.00	          172.70	            NULL	            NULL
YJR101W	          661.00	          231.10	          212.50	          285.30	          552.60	          361.50
YJR102C	          195.00	            NULL	          254.90	          412.90	            NULL	            NULL
YJR103W	          862.00	          818.40	         1564.80	         1208.00	          852.90	          899.50
YJR104C	        11769.00	         8399.60	        13219.40	        13492.40	         8721.80	        10651.90
YJR105W	        11286.00	         2763.80	         2332.30	         2559.60	         6882.90	         6521.00
YJR106W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR107W	          309.00	          191.40	          295.50	          377.60	            NULL	          296.20
YJR108W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR109C	          295.00	          109.30	            NULL	          440.00	            NULL	          275.40
YJR110W	          119.00	          301.30	          684.80	          461.70	          324.50	          425.70
YJR111C	          123.00	            NULL	            NULL	            NULL	            NULL	          231.90
YJR112W	          674.00	          115.70	            NULL	          514.60	          602.70	          674.50
YJR113C	         2585.00	         1960.50	         2692.10	         3726.50	         1742.10	         1868.70
YJR114W	          260.00	          227.40	          249.40	          492.90	            NULL	          222.60
YJR115W	          353.00	         1995.60	         1767.80	            NULL	            NULL	            NULL
YJR116W	          784.00	          799.90	          802.80	          385.70	          717.90	          836.20
YJR117W	         3185.00	         1879.20	         1845.20	         3398.10	         1986.50	         2641.00
YJR118C	          183.00	            NULL	            NULL	            NULL	            NULL	          226.70
YJR119C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR120W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR121W	         1403.00	         1509.00	         2300.90	         2630.10	         2214.60	         1547.40
YJR122W	          171.00	            NULL	            NULL	            NULL	            NULL	          193.50
YJR123W	        16975.00	        12761.30	        10368.90	        17810.20	        16460.30	        14737.20
YJR124C	          455.00	            NULL	            NULL	          307.00	            NULL	          349.00
YJR125C	          739.00	          620.80	         1302.80	         1328.80	          565.40	          455.80
YJR126C	          505.00	          147.10	          518.70	          520.10	          376.90	          302.40
YJR127C	          764.00	          426.00	          950.40	         1115.80	            NULL	          939.90
YJR128W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR129C	          439.00	            NULL	            NULL	            NULL	          429.20	          247.40
YJR130C	          380.00	           97.30	            NULL	          190.30	            NULL	          505.60
YJR131W	          123.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR132W	          134.00	            NULL	            NULL	           94.00	           77.80	          160.40
YJR133W	         2403.00	          378.90	          799.20	          796.90	         1167.10	         1524.60
YJR134C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR135C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR136C	          326.00	            NULL	          334.20	            NULL	            NULL	            NULL
YJR137C	          688.00	            NULL	            NULL	            NULL	          528.20	          437.10
YJR138W	          175.00	          125.90	            NULL	            NULL	            NULL	            NULL
YJR139C	         6300.00	         2004.80	         2583.20	         1746.70	         2982.80	         3704.60
YJR140C	          441.00	          307.80	            NULL	            NULL	          684.10	          942.00
YJR141W	            NULL	            NULL	            NULL	          408.80	          217.40	            NULL
YJR142W	          118.00	          178.50	          365.60	          480.70	            NULL	          317.90
YJR143C	         2933.00	         1948.50	         1378.50	         2456.40	         3789.30	         3555.30
YJR144W	          482.00	          201.60	          642.30	          628.60	          457.20	          617.50
YJR145C	        12948.00	         7225.10	         6221.50	        15200.80	        13359.70	        11878.20
YJR146W	          119.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR147W	         1706.00	          506.30	            NULL	            NULL	          834.30	         1172.10
